CountyName,OBESITY_AdjPrev,Living_Wage_Hourly_USD
Alameda,22.5,22.64
Alpine,28.7,19.28
Amador,29.5,20.36
Butte,30.6,18.8
Calaveras,29.8,18.79
Colusa,35.3,18.72
Contra Costa,27.8,22.64
Del Norte,30.9,18.63
El Dorado,27.4,20.17
Fresno,37.9,18.71
Glenn,32.4,18.02
Humboldt,32.1,19.17
Imperial,35.2,18.75
Inyo,28.5,18.35
Kern,36.2,18.41
Kings,34.9,18.35
Lake,32.8,19.04
Lassen,34.3,18.91
Los Angeles,26.4,22.95
Madera,36.7,18.86
Marin,21.3,25.44
Mariposa,30.9,19.28
Mendocino,29.5,19.66
Merced,34.3,18.41
Modoc,32.3,18.47
Mono,30.9,21.07
Monterey,31.4,20.78
Napa,28.2,22.44
Nevada,27.6,20.74
Orange,23.9,24.23
Placer,27.2,20.17
Plumas,30.1,19.06
Riverside,37.0,20.67
Sacramento,29.5,20.17
San Benito,31.3,21.35
San Bernardino,33.3,20.67
San Diego,25.4,22.25
San Francisco,17.1,25.44
San Joaquin,30.6,19.5
San Luis Obispo,27.6,21.05
San Mateo,22.0,25.44
Santa Barbara,27.6,21.78
Santa Clara,21.9,23.09
Santa Cruz,26.8,24.68
Shasta,29.3,18.62
Sierra,32.4,20.2
Siskiyou,32.0,18.19
Solano,31.2,21.42
Sonoma,26.1,22.12
Stanislaus,36.6,19.37
Sutter,29.7,18.15
Tehama,31.8,18.26
Trinity,33.2,18.29
Tulare,35.3,17.48
Tuolumne,29.2,19.58
Ventura,25.7,23.39
Yolo,27.9,20.26
Yuba,30.9,18.15
