2026-07-27 14:07:40,979 | INFO | Precondition PASS | events=1 | 360 files=64 | metadata=1
2026-07-27 14:10:11,618 | WARNING | REJECTED: ECE safety, significant paired delta | box_entry | ROC=0.7125 Brier=0.1737 ECE=0.0324 paired_delta=0.0012 [-0.0018, 0.0043]
2026-07-27 14:10:21,305 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6800 Brier=0.0956 ECE=0.0125 paired_delta=-0.0004 [-0.0054, 0.0041]
2026-07-27 14:10:32,646 | WARNING | REJECTED: ECE safety, positive paired delta, significant paired delta | box_entry | ROC=0.7105 Brier=0.1738 ECE=0.0355 paired_delta=-0.0008 [-0.0042, 0.0029]
2026-07-27 14:10:43,511 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6777 Brier=0.0957 ECE=0.0136 paired_delta=-0.0026 [-0.0087, 0.0025]
2026-07-27 14:10:54,311 | WARNING | REJECTED: positive paired delta, significant paired delta | box_entry | ROC=0.7031 Brier=0.1730 ECE=0.0209 paired_delta=-0.0082 [-0.0122, -0.0049]
2026-07-27 14:11:05,189 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6732 Brier=0.0949 ECE=0.0098 paired_delta=-0.0071 [-0.0135, -0.0006]
2026-07-27 14:11:17,601 | WARNING | REJECTED: ECE safety, positive paired delta, significant paired delta | box_entry | ROC=0.7093 Brier=0.1741 ECE=0.0372 paired_delta=-0.0020 [-0.0059, 0.0024]
2026-07-27 14:11:29,598 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6755 Brier=0.0960 ECE=0.0138 paired_delta=-0.0048 [-0.0116, 0.0019]
2026-07-27 14:11:39,264 | WARNING | REJECTED: ECE safety, significant paired delta | box_entry | ROC=0.7136 Brier=0.1739 ECE=0.0328 paired_delta=0.0024 [-0.0014, 0.0062]
2026-07-27 14:11:48,725 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6790 Brier=0.0958 ECE=0.0139 paired_delta=-0.0014 [-0.0070, 0.0051]
2026-07-27 14:11:59,880 | WARNING | REJECTED: ECE safety, significant paired delta | box_entry | ROC=0.7135 Brier=0.1736 ECE=0.0357 paired_delta=0.0023 [-0.0018, 0.0062]
2026-07-27 14:12:11,108 | WARNING | REJECTED: significant paired delta | shot | ROC=0.6813 Brier=0.0958 ECE=0.0133 paired_delta=0.0010 [-0.0046, 0.0070]
2026-07-27 14:12:22,476 | WARNING | REJECTED: positive paired delta, significant paired delta | box_entry | ROC=0.7048 Brier=0.1729 ECE=0.0188 paired_delta=-0.0065 [-0.0108, -0.0013]
2026-07-27 14:12:33,416 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6780 Brier=0.0953 ECE=0.0125 paired_delta=-0.0023 [-0.0080, 0.0039]
2026-07-27 14:12:46,464 | WARNING | REJECTED: ECE safety, significant paired delta | box_entry | ROC=0.7127 Brier=0.1737 ECE=0.0376 paired_delta=0.0014 [-0.0032, 0.0060]
2026-07-27 14:12:59,380 | WARNING | REJECTED: positive paired delta, significant paired delta | shot | ROC=0.6758 Brier=0.0960 ECE=0.0142 paired_delta=-0.0045 [-0.0107, 0.0018]
2026-07-27 14:13:10,303 | INFO | ACCEPTED | box_entry | ROC=0.7262 Brier=0.1725 ECE=0.0285 paired_delta=0.0150 [0.0102, 0.0198]
2026-07-27 14:13:21,015 | WARNING | REJECTED: significant paired delta | shot | ROC=0.6841 Brier=0.0960 ECE=0.0118 paired_delta=0.0038 [-0.0030, 0.0120]
2026-07-27 14:13:33,759 | INFO | ACCEPTED | box_entry | ROC=0.7268 Brier=0.1722 ECE=0.0309 paired_delta=0.0155 [0.0106, 0.0205]
2026-07-27 14:13:49,174 | WARNING | REJECTED: significant paired delta | shot | ROC=0.6839 Brier=0.0960 ECE=0.0112 paired_delta=0.0036 [-0.0031, 0.0120]
2026-07-27 14:14:05,765 | INFO | ACCEPTED | box_entry | ROC=0.7219 Brier=0.1718 ECE=0.0198 paired_delta=0.0106 [0.0053, 0.0168]
2026-07-27 14:14:19,761 | WARNING | REJECTED: significant paired delta | shot | ROC=0.6818 Brier=0.0961 ECE=0.0097 paired_delta=0.0015 [-0.0065, 0.0113]
2026-07-27 14:14:36,378 | INFO | ACCEPTED | box_entry | ROC=0.7252 Brier=0.1725 ECE=0.0310 paired_delta=0.0139 [0.0092, 0.0189]
2026-07-27 14:14:53,548 | WARNING | REJECTED: significant paired delta | shot | ROC=0.6822 Brier=0.0960 ECE=0.0120 paired_delta=0.0019 [-0.0058, 0.0113]
2026-07-27 14:14:53,640 | ERROR | ROLLBACK: no artifact written; targets without a fully valid challenger: shot
