layout,timing,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Start Context,Prospective,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.37181011116109836,0.10948814261883798,0.6497936914068426,0.2258451243999489,0.014867880100631285
Start Context,Prospective,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.3495176377134278,0.1000665780731761,0.6367318002894286,0.26287061060348904,0.035339069128562814
Start Context,Prospective,shot,Logistic Regression,2,13,1945,0.119280205655527,0.34202273319798615,0.09845075847821742,0.6630570988586266,0.2634309603470756,0.022754462726098962
Start Context,Prospective,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.3602895143026777,0.10625418783288476,0.6842360706658902,0.26721900469438364,0.011957251421963765
Start Context,Prospective,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.346186491987539,0.10138701071569449,0.6920953863967578,0.2421739761050504,0.015534561356044333
Start Context,Prospective,box_entry,Logistic Regression,0,12,1865,0.33351206434316355,0.5774773771409106,0.1951153284810198,0.6729356421684908,0.5711933925327344,0.029694719406600383
Start Context,Prospective,box_entry,Logistic Regression,1,13,1966,0.3158697863682604,0.5612329265895625,0.1883018046081701,0.6730360552891667,0.5680256493814382,0.030218051260477958
Start Context,Prospective,box_entry,Logistic Regression,2,13,1945,0.3038560411311054,0.5405419758164213,0.17923484599905645,0.7047621011379456,0.579254128531327,0.029940097554588003
Start Context,Prospective,box_entry,Logistic Regression,3,13,1975,0.30278481012658226,0.5386148030106341,0.1781457527442936,0.6973960648299948,0.5903635110628349,0.04186127287096779
Start Context,Prospective,box_entry,Logistic Regression,4,13,1934,0.3247156153050672,0.5490073580562375,0.1832049352858891,0.7041776806703016,0.6095249224724324,0.02660655696384693
Context + Attack Style,Retrospective,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.36201093070525314,0.10895113760262921,0.7039775083180794,0.2388279009409282,0.01733277597910995
Context + Attack Style,Retrospective,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.3410350395167154,0.10000660229989755,0.695542410066061,0.2521322203540596,0.014060679852202907
Context + Attack Style,Retrospective,shot,Logistic Regression,2,13,1945,0.119280205655527,0.3333392023691509,0.09826817413568807,0.7194551804658091,0.25261355441668015,0.01723515628633929
Context + Attack Style,Retrospective,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.35474667423205625,0.10696872559809979,0.722285805871969,0.2569895439689272,0.01902348596434794
Context + Attack Style,Retrospective,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.3380546095861309,0.10143659604611886,0.7393331636421712,0.2432554914222979,0.02946520273682708
Context + Attack Style,Retrospective,box_entry,Logistic Regression,0,12,1865,0.33351206434316355,0.5275374397591873,0.17914825330172357,0.765121335426944,0.6231425321211818,0.051573422859663015
Context + Attack Style,Retrospective,box_entry,Logistic Regression,1,13,1966,0.3158697863682604,0.5122311656200434,0.17325450850121396,0.7687564726517369,0.6151134298886352,0.051394740874490794
Context + Attack Style,Retrospective,box_entry,Logistic Regression,2,13,1945,0.3038560411311054,0.49915749436833085,0.16776852811189016,0.7740160756997503,0.6137881521575053,0.04726427225142905
Context + Attack Style,Retrospective,box_entry,Logistic Regression,3,13,1975,0.30278481012658226,0.5024500700161122,0.16824034194927462,0.7678791323292601,0.6083751319195837,0.041301597605759556
Context + Attack Style,Retrospective,box_entry,Logistic Regression,4,13,1934,0.3247156153050672,0.508222630480642,0.17153044775056028,0.7730544229962643,0.6367191852856211,0.04877742441246651
Context + Both Styles,Retrospective,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.33999906442898525,0.10354529374819921,0.7632646817892212,0.2933339087499542,0.01723352701266644
Context + Both Styles,Retrospective,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.32264919805999254,0.09559896004214237,0.7540040461426204,0.29908356685902415,0.016641920114240736
Context + Both Styles,Retrospective,shot,Logistic Regression,2,13,1945,0.119280205655527,0.3131687264710472,0.09310138167585502,0.7724751897256275,0.3181042271623946,0.012064777615254966
