layout,timing,target,model,rows,matches,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,fold_log_loss_std,fold_brier_std,target_rank
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,9685,64,0.31595250387196694,0.355602735207335,0.1133688060922804,0.9040501171537798,0.8304417710226779,0.010977754130162136,0.0060781389539371535,0.0028755022852853516,1.0
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,9685,64,0.31595250387196694,0.3557691292170846,0.11281574063962987,0.9050213343198914,0.8322418001900551,0.0139706817936061,0.00547149434367144,0.002318339855036896,2.0
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,9685,64,0.31595250387196694,0.35657137814251966,0.11309173504858985,0.9041287951658652,0.830152294634829,0.010504101448663032,0.005677982483015324,0.0022918547796780234,3.0
Tactical + Shape,Retrospective,box_entry,XGBoost,9685,64,0.31595250387196694,0.3567647787293914,0.11337533889714953,0.9035909236650637,0.8300471898080966,0.00961645590419983,0.005867111382336892,0.0025760134032768,4.0
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,9685,64,0.31595250387196694,0.35770276394689215,0.11337911202618357,0.9036327044025158,0.8301655717825004,0.011115084757237546,0.0059686442831150335,0.0026857080446353247,5.0
Player-Aware,Retrospective,box_entry,XGBoost,9685,64,0.31595250387196694,0.36231509206668255,0.11506825082740138,0.90064326057467,0.8235295133342478,0.00984959862630446,0.0036068385075382382,0.001890135674781767,6.0
Player-Aware,Retrospective,box_entry,Histogram Gradient Boosting,9685,64,0.31595250387196694,0.36246047060628317,0.11553541669090811,0.9003128375878654,0.8232911379768965,0.010804492338926866,0.005155797423307472,0.0025324277038728834,7.0
Player-Aware,Retrospective,box_entry,Soft Vote: Boosting,9685,64,0.31595250387196694,0.3630097478756564,0.11502221207432319,0.9007671969416696,0.8242860362919331,0.010802931337563557,0.004497344628766583,0.0022326002985775632,8.0
Player-Aware,Retrospective,box_entry,Soft Vote: All,9685,64,0.31595250387196694,0.363451801894624,0.11504963527041143,0.9009114317425082,0.825111521333113,0.01713225450508337,0.004715688438882963,0.002140317504925317,9.0
Tactical + Shape,Retrospective,box_entry,Random Forest,9685,64,0.31595250387196694,0.36489457084368926,0.11617375294166553,0.8992498705142433,0.8220297618590979,0.012297999061230164,0.004717128628008218,0.0018977870609022645,10.0
Tactical + Shape,Retrospective,box_entry,Logistic Regression,9685,64,0.31595250387196694,0.36712847885027877,0.11655481521821413,0.8982185719570848,0.8183949070962803,0.012558205663088545,0.0061097496600729185,0.0023341041417689534,11.0
Player-Aware,Retrospective,box_entry,Soft Vote: LR + XGB,9685,64,0.31595250387196694,0.3682356186222547,0.11718110983674658,0.8972667406585275,0.8176878028592929,0.012945681284519388,0.005194757834432152,0.0024105680624623084,12.0
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,9685,64,0.31595250387196694,0.3717722686457676,0.11743618331551872,0.8966425453200147,0.8176579452485768,0.019546232854976718,0.006759990526082145,0.0028372503403901474,13.0
Player-Aware,Retrospective,box_entry,Gradient Boosting,9685,64,0.31595250387196694,0.3748536235209074,0.11838766070642692,0.8951160439018375,0.8146557895433035,0.02278183963760363,0.006041932543763626,0.0025818448538910566,14.0
Player-Aware,Retrospective,box_entry,Random Forest,9685,64,0.31595250387196694,0.37598666906513245,0.11923923830226131,0.8942612405968677,0.8141574139854916,0.02486488157345872,0.004556410742775571,0.0020006159487267893,15.0
Player-Aware,Retrospective,box_entry,Logistic Regression,9685,64,0.31595250387196694,0.3983687515263513,0.127361426829509,0.8814347021827599,0.7884316222520986,0.028981090936480266,0.013423337461160983,0.005061684242639547,16.0
Context + Both Styles,Retrospective,box_entry,Logistic Regression,9685,64,0.31595250387196694,0.4784001902998588,0.1592914867303751,0.8045282772228389,0.6776081360398434,0.019528839069865668,0.0069659456968306985,0.002706410861270249,17.0
