team,possessions,matches,model_policy_value,always_patient_value,policy_difference,positive_difference,observed_style_match_rate,fraction_propensity_below_005
Saudi Arabia,209,3,0.05004092785339881,0.026887300982291487,0.023153626871107315,True,0.4880382775119617,0.019138755980861243
Cameroon,217,3,0.0546967642045712,0.032234742598315075,0.022462021606256117,True,0.5299539170506913,0.04608294930875576
Morocco,476,7,0.050160425855668656,0.03289492099859667,0.01726550485707198,True,0.49789915966386555,0.004201680672268907
Ghana,226,3,0.05087749951493343,0.03726315209555599,0.013614347419377433,True,0.45132743362831856,0.008849557522123894
England,361,5,0.049013205816910564,0.03584520031367155,0.013168005503239016,True,0.6232686980609419,0.008310249307479225
Senegal,288,4,0.0456792134408235,0.034614881103085894,0.0110643323377376,True,0.5173611111111112,0.0
Mexico,238,3,0.03314167330207445,0.0281317802153934,0.005009893086681057,True,0.5672268907563025,0.02100840336134454
Costa Rica,194,3,0.022547267288193562,0.018483535447259156,0.0040637318409344056,True,0.4381443298969072,0.020618556701030927
Portugal,408,5,0.03618415355326978,0.03299019078672989,0.00319396276653989,True,0.571078431372549,0.01715686274509804
Canada,240,3,0.03534646599840671,0.03311364873201484,0.0022328172663918697,True,0.55,0.004166666666666667
Croatia,623,7,0.03395303953676217,0.03172087462330125,0.002232164913460923,True,0.565008025682183,0.019261637239165328
Tunisia,248,3,0.027525268335926868,0.025609456804976012,0.0019158115309508587,True,0.4435483870967742,0.028225806451612902
Spain,350,4,0.030867342802706737,0.029112187427577096,0.0017551553751296392,True,0.6742857142857143,0.011428571428571429
Brazil,419,5,0.05192260825406031,0.05026761898233097,0.0016549892717293343,True,0.6229116945107399,0.00954653937947494
France,530,7,0.04549696567414322,0.04390386226390939,0.0015931034102338356,True,0.5641509433962264,0.013207547169811321
Poland,279,4,0.031227895403485834,0.029965061550513858,0.001262833852971979,True,0.4336917562724014,0.021505376344086023
Uruguay,216,3,0.04257258249965254,0.04135660063440693,0.0012159818652456025,True,0.5138888888888888,0.023148148148148147
Netherlands,371,5,0.03391945205613563,0.03285806666976159,0.001061385386374033,True,0.5876010781671159,0.016172506738544475
Ecuador,219,3,0.02633330841251627,0.02556017623073922,0.0007731321817770463,True,0.5342465753424658,0.0228310502283105
Switzerland,300,4,0.03509886545864117,0.03459003954562924,0.0005088259130119353,True,0.5666666666666667,0.0033333333333333335
Wales,229,3,0.024666477081324033,0.024474704774025118,0.00019177230729891637,True,0.48034934497816595,0.021834061135371178
Iran,195,3,0.05114606786653246,0.050975237105270126,0.0001708307612623339,True,0.48205128205128206,0.010256410256410256
United States,300,4,0.03798782020335956,0.038344061577383674,-0.0003562413740241144,False,0.62,0.01
Japan,276,4,0.04290686693792916,0.043439472570998255,-0.0005326056330691018,False,0.42391304347826086,0.021739130434782608
Germany,246,3,0.06462631360752015,0.06527477323077267,-0.0006484596232525264,False,0.6016260162601627,0.02032520325203252
Denmark,244,3,0.04141563957446349,0.04218229368365107,-0.0007666541091875804,False,0.5819672131147541,0.020491803278688523
South Korea,268,4,0.034573466467407256,0.03592260861867058,-0.0013491421512633259,False,0.5447761194029851,0.018656716417910446
Australia,267,4,0.02695772075148204,0.02909401516098311,-0.0021362944095010684,False,0.449438202247191,0.003745318352059925
Serbia,229,3,0.03330255374657503,0.035791087133508676,-0.002488533386933646,False,0.5065502183406113,0.026200873362445413
Argentina,566,7,0.036946492678547674,0.040044966273959315,-0.003098473595411643,False,0.5759717314487632,0.00530035335689046
Qatar,231,3,0.013751094813340014,0.021712786716680452,-0.007961691903340439,False,0.5497835497835498,0.004329004329004329
Belgium,222,3,0.043049131462579736,0.05619451718387969,-0.013145385721299963,False,0.5720720720720721,0.018018018018018018
