layout,target,model,fold,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Context + History,shot,Logistic Regression,0,1865,0.13083109919571045,0.37072513033851,0.11036943455444488,0.6767351665132836,0.22392722693468048,0.02773142744688214
Context + History,shot,Random Forest,0,1865,0.13083109919571045,0.3528021522683207,0.10626821065467838,0.7183963552148542,0.26376704651226424,0.023414139905800404
Context + History,shot,Gradient Boosting,0,1865,0.13083109919571045,0.3544877494070493,0.10694900975736617,0.7116976466661947,0.2492989168304265,0.016224229779208253
Context + History,shot,Histogram Gradient Boosting,0,1865,0.13083109919571045,0.35199457863791306,0.10645266494918068,0.716701135708579,0.26698998545646224,0.026127127025300786
Context + History,shot,XGBoost,0,1865,0.13083109919571045,0.35158225893974304,0.10650952905416489,0.7172965483763312,0.2631419411711087,0.014404173878498435
Context + History,shot,Logistic Regression,1,1966,0.12054933875890132,0.34457243772968466,0.10171401868952598,0.6929055843113138,0.22840989468862863,0.02126110898600802
Context + History,shot,Random Forest,1,1966,0.12054933875890132,0.3435920420997433,0.09986192118054298,0.6984147320589693,0.28224508238664375,0.041031099460744215
Context + History,shot,Gradient Boosting,1,1966,0.12054933875890132,0.3319834823560526,0.09752778838364953,0.704907351143194,0.2833797411611512,0.015678695375864336
Context + History,shot,Histogram Gradient Boosting,1,1966,0.12054933875890132,0.34548873978853917,0.10125039298141991,0.6873915558126085,0.25595627700456763,0.04293456601608763
Context + History,shot,XGBoost,1,1966,0.12054933875890132,0.33100539445877075,0.09749070554971695,0.708420271711411,0.29275469338025933,0.0288541078139267
Context + History,shot,Logistic Regression,2,1945,0.119280205655527,0.341599703719059,0.10068280345155062,0.7008927672766069,0.23567152373337502,0.02936467037690349
Context + History,shot,Random Forest,2,1945,0.119280205655527,0.3222880363643934,0.09630885370215699,0.7348949211908932,0.29014950126777833,0.018287738023885464
Context + History,shot,Gradient Boosting,2,1945,0.119280205655527,0.31898637989763534,0.09439726073387225,0.7486953217786904,0.306532051184107,0.009883370092126791
Context + History,shot,Histogram Gradient Boosting,2,1945,0.119280205655527,0.32103325453666115,0.09554947718985758,0.7421228636994988,0.2952497988804725,0.01550613519346407
Context + History,shot,XGBoost,2,1945,0.119280205655527,0.31826311349868774,0.09461639821529388,0.7453021519012824,0.31281652667936805,0.011321938505209506
Context + History,shot,Logistic Regression,3,1975,0.13063291139240507,0.355698482708365,0.10760399195850906,0.7220566789921126,0.24952260726969416,0.021817168257550992
Context + History,shot,Random Forest,3,1975,0.13063291139240507,0.35049710357697034,0.10382347563807136,0.7199019833583905,0.29807472159530296,0.022829860042738508
Context + History,shot,Gradient Boosting,3,1975,0.13063291139240507,0.3452886679944886,0.1041915728160401,0.7343381054931759,0.28461259964888885,0.01389908903564039
Context + History,shot,Histogram Gradient Boosting,3,1975,0.13063291139240507,0.34659991097963777,0.10362499283232827,0.7263683276672399,0.2950724729069115,0.026820667499376387
Context + History,shot,XGBoost,3,1975,0.13063291139240507,0.3399646580219269,0.10257434099912643,0.7402299395466222,0.31314695460105274,0.009530925288607809
Context + History,shot,Logistic Regression,4,1934,0.12202688728024819,0.34212296530172787,0.10218078181118903,0.7172258988640674,0.24608937066582287,0.019778133160010387
Context + History,shot,Random Forest,4,1934,0.12202688728024819,0.33850724686568145,0.10116540546530439,0.7080201533209559,0.25212760364071424,0.020780421085883186
Context + History,shot,Gradient Boosting,4,1934,0.12202688728024819,0.33155817746508953,0.09910919258122644,0.7323845601006168,0.26748096820676526,0.02256823908827514
Context + History,shot,Histogram Gradient Boosting,4,1934,0.12202688728024819,0.33614611693221813,0.10155642005427377,0.7180568864666307,0.24184578400272946,0.015594817279430491
Context + History,shot,XGBoost,4,1934,0.12202688728024819,0.33033111691474915,0.09952198714017868,0.7275408756063962,0.25895759706398686,0.01195957930036267
Context + History,shot,Soft Vote: All,0,1865,0.13083109919571045,0.35002501407874986,0.10587450317563413,0.7190511827348024,0.266638071023078,0.015028026042845515
Context + History,shot,Soft Vote: All,1,1966,0.12054933875890132,0.33338424414534523,0.09801530782004542,0.706675403211046,0.28687394582824377,0.027638678192238475
Context + History,shot,Soft Vote: All,2,1945,0.119280205655527,0.31935064085848475,0.09468935946609679,0.7486009622159149,0.3101674166983096,0.017058972510463063
Context + History,shot,Soft Vote: All,3,1975,0.13063291139240507,0.34125568807674916,0.10302747428202007,0.7381136198435165,0.29499576386006204,0.008546666325429404
Context + History,shot,Soft Vote: All,4,1934,0.12202688728024819,0.3305387260509518,0.09919681067263243,0.7308610828292507,0.26549802547294854,0.01448584770290682
Context + History,shot,Soft Vote: Boosting,0,1865,0.13083109919571045,0.350610769379588,0.10607394656506493,0.7185404678350745,0.27189986773436714,0.015618020064551652
