layout,target,model,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,target_rank
Context + History,box_entry,Soft Vote: Boosting,9685,0.31595250387196694,0.4858318974194418,0.16400360925671634,0.7856527561968184,0.6487139503078531,0.014827196635993968,1.0
Context + History,box_entry,XGBoost,9685,0.31595250387196694,0.48611077666282654,0.16438959538936615,0.7846897767912195,0.6477035877903432,0.01532673280749607,2.0
Context + History,box_entry,Soft Vote: All,9685,0.31595250387196694,0.48718383752632805,0.16427073890261581,0.7854726846713529,0.6486777663729255,0.0157633649367757,3.0
Player-Aware,box_entry,Soft Vote: Boosting,9685,0.31595250387196694,0.4880356440972571,0.16465660409144187,0.7841604390183747,0.6453442696363995,0.014799516202006972,4.0
Context + History,box_entry,Histogram Gradient Boosting,9685,0.31595250387196694,0.4881131236231919,0.1654686603268459,0.7819105685041312,0.6443606929330653,0.02193401695061248,5.0
Player-Aware,box_entry,XGBoost,9685,0.31595250387196694,0.48858943581581116,0.1653134971857071,0.7819555555555555,0.6435749323108293,0.016318543528427345,6.0
Player-Aware,box_entry,Histogram Gradient Boosting,9685,0.31595250387196694,0.48956594761215205,0.1657472375889183,0.7812406461955852,0.6406079999611624,0.019579206375911647,7.0
Player-Aware,box_entry,Soft Vote: All,9685,0.31595250387196694,0.49046568111996697,0.16534134478394968,0.7815527931927487,0.6442422996649223,0.018215157211230428,8.0
Context + History,box_entry,Gradient Boosting,9685,0.31595250387196694,0.491164110164235,0.16512452464277252,0.7835248735972378,0.6424913154304639,0.012874784786938681,9.0
Player-Aware,box_entry,Random Forest,9685,0.31595250387196694,0.49218322985320195,0.16612930774512608,0.776680503144654,0.6392227950841581,0.017391548003175838,10.0
Context + History,box_entry,Random Forest,9685,0.31595250387196694,0.49293645728519725,0.16610436138700604,0.7787949438895055,0.6380519620690723,0.018556008261953135,11.0
Player-Aware,box_entry,Gradient Boosting,9685,0.31595250387196694,0.494199179412176,0.16605364458758362,0.780979504254532,0.6403702480496158,0.013937572370734385,12.0
