defending_team,Compact Pressure Block,High-Intensity Press,Set-Piece Compact Shape,Wide Retreating Block,defensive_style_entropy,dominant_defensive_style
Argentina,0.19305019305019305,0.08301158301158301,0.05405405405405406,0.6698841698841699,0.9502338358886371,Wide Retreating Block
Australia,0.3170731707317073,0.054878048780487805,0.06097560975609756,0.5670731707317073,1.0157365598031407,Wide Retreating Block
Belgium,0.2175925925925926,0.05555555555555555,0.05092592592592592,0.6759259259259259,0.9088004824618133,Wide Retreating Block
Brazil,0.25392670157068065,0.10732984293193717,0.060209424083769635,0.5785340314136126,1.0733951016654795,Wide Retreating Block
Cameroon,0.36909871244635195,0.07725321888412018,0.060085836909871244,0.49356223175965663,1.083164820534284,Wide Retreating Block
Canada,0.3789954337899543,0.0776255707762557,0.0821917808219178,0.4611872146118721,1.1284221355737085,Wide Retreating Block
Costa Rica,0.2425531914893617,0.0425531914893617,0.06808510638297872,0.6468085106382979,0.9426875059697746,Wide Retreating Block
Croatia,0.36860670194003525,0.08641975308641975,0.07407407407407407,0.4708994708994709,1.1269120920366862,Wide Retreating Block
Denmark,0.42592592592592593,0.032407407407407406,0.09259259259259259,0.44907407407407407,1.0545028034350592,Wide Retreating Block
Ecuador,0.3456221198156682,0.12903225806451613,0.07834101382488479,0.4470046082949309,1.1908423924164375,Wide Retreating Block
England,0.36633663366336633,0.07260726072607261,0.10891089108910891,0.4521452145214521,1.1586736547291743,Wide Retreating Block
France,0.31285988483685223,0.06333973128598848,0.05182341650671785,0.5719769673704415,1.0112443092761625,Wide Retreating Block
Germany,0.38181818181818183,0.08181818181818182,0.07272727272727272,0.4636363636363636,1.1194277770078094,Wide Retreating Block
Ghana,0.46638655462184875,0.06722689075630252,0.09243697478991597,0.3739495798319328,1.125166292236395,Compact Pressure Block
Iran,0.38114754098360654,0.07377049180327869,0.0942622950819672,0.45081967213114754,1.1417270297648412,Wide Retreating Block
Japan,0.2613981762917933,0.0851063829787234,0.0668693009118541,0.5866261398176292,1.0541801392297085,Wide Retreating Block
Mexico,0.2096069868995633,0.11353711790393013,0.1091703056768559,0.5676855895196506,1.1377415114447724,Wide Retreating Block
Morocco,0.22521008403361345,0.08067226890756303,0.06890756302521009,0.6252100840336134,1.0167745984170784,Wide Retreating Block
Netherlands,0.2942643391521197,0.08229426433915212,0.09975062344139651,0.5236907730673317,1.1341776496742297,Wide Retreating Block
Poland,0.35051546391752575,0.058419243986254296,0.058419243986254296,0.5326460481099656,1.0348099552285708,Wide Retreating Block
Portugal,0.2808022922636103,0.0659025787965616,0.0659025787965616,0.5873925501432665,1.0276318288905915,Wide Retreating Block
Qatar,0.37962962962962965,0.046296296296296294,0.05555555555555555,0.5185185185185185,1.0110766364428883,Wide Retreating Block
Saudi Arabia,0.33858267716535434,0.07874015748031496,0.11811023622047244,0.4645669291338583,1.1752664714055658,Wide Retreating Block
Senegal,0.3102310231023102,0.056105610561056105,0.066006600660066,0.5676567656765676,1.0255544825214822,Wide Retreating Block
Serbia,0.27705627705627706,0.1038961038961039,0.025974025974025976,0.5930735930735931,0.995535663261226,Wide Retreating Block
South Korea,0.39338235294117646,0.08088235294117647,0.09926470588235294,0.4264705882352941,1.1631561956645189,Wide Retreating Block
Spain,0.43951612903225806,0.125,0.06048387096774194,0.375,1.1587391155931992,Compact Pressure Block
Switzerland,0.275,0.1,0.065625,0.559375,1.0889890614145208,Wide Retreating Block
Tunisia,0.49800796812749004,0.07171314741035857,0.12350597609561753,0.30677290836653387,1.1569568051609003,Compact Pressure Block
United States,0.3664383561643836,0.07534246575342465,0.136986301369863,0.4212328767123288,1.1991871134440635,Wide Retreating Block
Uruguay,0.3948497854077253,0.04721030042918455,0.07296137339055794,0.48497854077253216,1.0530090653564992,Wide Retreating Block
Wales,0.32242990654205606,0.06542056074766354,0.04672897196261682,0.5654205607476636,1.0088888263350726,Wide Retreating Block
