team,possessions,total_wasted_net_xg,mean_eva_gap,actual_expected_net_xg,optimal_expected_net_xg,most_common_optimal_style
Argentina,566,3.1008206758135555,0.005478481759387907,8.87440305869762,11.975223734511175,Patient Build-up
Australia,267,1.1457668022188474,0.004291261431531264,1.4931715512738126,2.63893835349266,Patient Build-up
Belgium,222,0.9693793487794771,0.004366573643150798,2.7913545616293822,3.760733910408859,Patient Build-up
Brazil,419,1.9310872987490957,0.004608800235678032,7.827152487244849,9.758239785993945,Patient Build-up
Cameroon,217,0.5076198848330494,0.0023392621420877855,2.3293607075005824,2.836980592333632,Patient Build-up
Canada,240,0.31404818235296716,0.0013085340931373631,2.705229370686429,3.0192775530393963,Patient Build-up
Costa Rica,194,0.9268835774961375,0.004777750399464626,1.3033093724982336,2.2301929499943713,Patient Build-up
Croatia,623,1.7794329069885402,0.0028562325954872235,6.571999800458251,8.351432707446792,Patient Build-up
Denmark,244,0.6182547787021027,0.002533831060254519,2.6089442861160665,3.227199064818169,Patient Build-up
Ecuador,219,1.2384563871783054,0.00565505199624797,2.6316826293527993,3.870139016531105,Short Under Pressure
England,361,0.3011119725309013,0.0008341051870662085,5.603563403866369,5.904675376397271,Patient Build-up
France,530,1.8069707784982199,0.0034093788273551317,7.689792533227002,9.496763311725221,Patient Build-up
Germany,246,1.6939893473124803,0.006886135558180814,5.197407158090193,6.891396505402673,Patient Build-up
Ghana,226,1.312599857286369,0.0058079639702936685,1.7741919304690554,3.0867917877554243,Patient Build-up
Iran,195,0.9553634134607586,0.004899299556209018,2.032643382539321,2.9880067960000796,Patient Build-up
Japan,276,2.2963666735945787,0.008320169107226735,3.448880265971049,5.745246939565628,Patient Build-up
Mexico,238,0.43934321141216004,0.0018459798798830254,2.5094122728324666,2.948755484244627,Patient Build-up
Morocco,476,1.6596631942529536,0.003486687382884356,4.267511131130752,5.927174325383707,Patient Build-up
Netherlands,371,0.9399443410391651,0.0025335426982187738,4.091141582638392,5.031085923677557,Patient Build-up
Poland,279,0.587828911897596,0.002106913662715398,2.781955538341684,3.3697844502392797,Patient Build-up
Portugal,408,0.8726811564360314,0.0021389244030294886,4.587672257649554,5.460353414085585,Patient Build-up
Qatar,231,0.8870958352480665,0.0038402417110305906,1.591755062206919,2.4788508974549854,Patient Build-up
Saudi Arabia,209,0.7693387041711895,0.0036810464314410984,1.9923660713332352,2.7617047755044246,Patient Build-up
Senegal,288,1.190117020595362,0.004132350765956118,2.8431524537895356,4.033269474384897,Patient Build-up
Serbia,229,0.6751215459273437,0.0029481290215167847,2.208731791386187,2.8838533373135307,Patient Build-up
South Korea,268,0.3215122323543899,0.001199672508785037,3.075410374905802,3.396922607260192,Patient Build-up
Spain,350,0.8033522066102684,0.0022952920188864813,3.8405573024423663,4.6439095090526346,Patient Build-up
Switzerland,300,0.8181030587330239,0.0027270101957767466,4.358292954591696,5.17639601332472,Patient Build-up
Tunisia,248,0.2508203396331953,0.0010113723372306262,2.7501926368448633,3.0010129764780586,Short Under Pressure
United States,300,0.5105955368732391,0.001701985122910797,3.5953893546485047,4.105984891521744,Patient Build-up
Uruguay,216,1.483491748794115,0.0068680173555283105,2.8214942739023954,4.304986022696511,Patient Build-up
Wales,229,0.44133964793666647,0.0019272473709024737,1.0899744417346284,1.531314089671295,Patient Build-up
