team,possessions,total_wasted_net_xg,mean_eva_gap,actual_expected_net_xg,optimal_expected_net_xg,most_common_optimal_style
Argentina,171,1.2940722488560457,0.007567673969918396,2.699623307399577,3.9936955562556222,No meaningful change
Australia,61,0.1351461752989377,0.0022155110704743883,0.4467491364217623,0.5818953117207,No meaningful change
Belgium,149,0.372771219830656,0.0025018202673198387,1.7526587689309072,2.1254299887615633,No meaningful change
Brazil,79,0.34883965055578026,0.004415691779187092,1.573891490043233,1.9227311405990133,No meaningful change
Cameroon,140,0.0,0.0,1.4378361641188524,1.4378361641188524,No meaningful change
Croatia,83,0.02700954313874737,0.00032541618239454665,1.0438351908261632,1.0708447339649105,No meaningful change
Denmark,89,0.070570073329414,0.0007929221722406067,0.798306379731058,0.868876453060472,No meaningful change
England,149,0.10666116072185754,0.0007158467162540774,3.104024069145594,3.2106852298674515,No meaningful change
France,67,0.14427461897035532,0.0021533525219456016,1.0617846510586206,1.2060592700289758,No meaningful change
Morocco,59,0.16812283594556035,0.002849539592297633,0.5895121530651637,0.757634989010724,No meaningful change
Netherlands,91,0.3476118024470579,0.0038199099170006363,1.13259177574768,1.4802035781947378,No meaningful change
Senegal,62,0.17285135265007892,0.0027879250427432084,0.6685233999749316,0.8413747526250105,No meaningful change
Serbia,75,0.1984919843833866,0.002646559791778488,0.7633166737481991,0.9618086581315858,No meaningful change
Tunisia,74,0.04115099845324273,0.0005560945736924693,0.8919516642348881,0.9331026626881309,No meaningful change
