layout,timing,target,model,rows,matches,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,fold_log_loss_std,fold_brier_std,target_rank,log_loss_ci_low,log_loss_ci_high,brier_ci_low,brier_ci_high,delta_log_loss_vs_best,delta_ci_low,delta_ci_high,empirical_best,within_practical_margin,selected
Start Context,Prospective,box_entry,Logistic Regression,9685,64,0.3159525038719669,0.5531520755222079,0.1847041215754072,0.6887654211370082,0.5816484774001993,0.0261706748694559,0.0144519743639211,0.006268377984757,19.0,0.542836720143827,0.5631438705068795,0.18029498733269014,0.18904968065734185,0.0,0.0,0.0,True,True,False
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,9685,64,0.3159525038719669,0.355602735207335,0.1133688060922804,0.9040501171537798,0.8304417710226779,0.0109777541301621,0.0060781389539371,0.0028755022852853,1.0,0.34457565980308685,0.365953217410326,0.10935222113471794,0.11719597975526089,0.0,0.0,0.0,True,True,True
Tactical + Shape,Retrospective,box_entry,Soft Vote: All,9685,64,0.3159525038719669,0.3557691292170846,0.1128157406396298,0.9050213343198914,0.8322418001900551,0.0139706817936061,0.0054714943436714,0.0023183398550368,2.0,0.3456762916937375,0.3654403189953257,0.10904591044454238,0.11640827429567602,0.00016639400974960417,-0.0018044798835666301,0.002126833863694661,False,True,False
Tactical + Shape,Retrospective,box_entry,Soft Vote: LR + XGB,9685,64,0.3159525038719669,0.3565713781425196,0.1130917350485898,0.9041287951658652,0.830152294634829,0.010504101448663,0.0056779824830153,0.002291854779678,3.0,0.34645363372805643,0.3664438812789994,0.10937756880242942,0.11664725813622678,0.000968642935184616,-0.0015907786295344436,0.0035303449545402922,False,True,False
Tactical + Shape,Retrospective,box_entry,XGBoost,9685,64,0.3159525038719669,0.3567647787293914,0.1133753388971495,0.9035909236650636,0.8300471898080966,0.0096164559041998,0.0058671113823368,0.0025760134032768,4.0,0.3463155783598659,0.3666281976678746,0.10948277391050339,0.11706417093523575,0.0011620435220563996,-0.0012036594395354067,0.0034849450323886835,False,False,False
Tactical + Shape,Retrospective,box_entry,Soft Vote: Boosting,9685,64,0.3159525038719669,0.3577027639468921,0.1133791120261835,0.9036327044025158,0.8301655717825004,0.0111150847572375,0.005968644283115,0.0026857080446353,5.0,0.3473700092033509,0.36755407947391744,0.10947170456988593,0.11707014372750392,0.0021000287395571138,0.0004797528452953212,0.003675115453448611,False,False,False
Player-Aware,Retrospective,box_entry,XGBoost,9685,64,0.3159525038719669,0.3623150920666825,0.1150682508274013,0.90064326057467,0.8235295133342478,0.0098495986263044,0.0036068385075382,0.0018901356747817,6.0,0.3519934568553174,0.37226962971209876,0.11117893511151604,0.11873001251655059,0.0067123568593475125,0.0033743754315853857,0.010339451331497006,False,False,False
Player-Aware,Retrospective,box_entry,Histogram Gradient Boosting,9685,64,0.3159525038719669,0.3624604706062831,0.1155354166909081,0.9003128375878654,0.8232911379768965,0.0108044923389268,0.0051557974233074,0.0025324277038728,7.0,0.3517137525918126,0.37258388753453164,0.1114947470897092,0.11934586231832627,0.006857735398948128,0.003628739302947941,0.010250341018627946,False,False,False
Player-Aware,Retrospective,box_entry,Soft Vote: Boosting,9685,64,0.3159525038719669,0.3630097478756564,0.1150222120743231,0.9007671969416696,0.8242860362919331,0.0108029313375635,0.0044973446287665,0.0022326002985775,8.0,0.3527682416574928,0.3727410245447641,0.11119462101570271,0.11868170363391661,0.007407012668321389,0.004599952882178487,0.010395882957234506,False,False,False
Player-Aware,Retrospective,box_entry,Soft Vote: All,9685,64,0.3159525038719669,0.363451801894624,0.1150496352704114,0.9009114317425082,0.825111521333113,0.0171322545050833,0.0047156884388829,0.0021403175049253,9.0,0.35385106187453547,0.3726337153201913,0.11141126452183195,0.11854638024099992,0.007849066687289019,0.004526337064995392,0.011455173227678098,False,False,False
Tactical + Shape,Retrospective,box_entry,Random Forest,9685,64,0.3159525038719669,0.3648945708436892,0.1161737529416655,0.8992498705142433,0.8220297618590979,0.0122979990612301,0.0047171286280082,0.0018977870609022,10.0,0.3544109986009093,0.375095493911748,0.11228468110690558,0.11994627080926494,0.009291835636354218,0.005484254592533186,0.013026257081959754,False,False,False
Tactical + Shape,Retrospective,box_entry,Logistic Regression,9685,64,0.3159525038719669,0.3671284788502787,0.1165548152182141,0.8982185719570848,0.8183949070962803,0.0125582056630885,0.0061097496600729,0.0023341041417689,11.0,0.3566060895414884,0.3775873509302271,0.11286960822492362,0.12013997843360191,0.011525743642943731,0.007837638815526876,0.015162440964706883,False,False,False
Player-Aware,Retrospective,box_entry,Soft Vote: LR + XGB,9685,64,0.3159525038719669,0.3682356186222547,0.1171811098367465,0.8972667406585275,0.8176878028592929,0.0129456812845193,0.0051947578344321,0.0024105680624623,12.0,0.3580643851009746,0.3780811881425606,0.11352241588760469,0.12073798771440473,0.012632883414919693,0.008071123413192877,0.01769308051887777,False,False,False
