team,player,matches_with_defensive_action,defensive_actions,pressure_actions,counterpress_actions,duels,interceptions,blocks,clearances,ball_recoveries,fouls_committed,fifty_fifties,actor_frame_count,avg_actor_x_when_acting,avg_actor_y_when_acting,avg_actor_distance_from_centroid_when_acting,avg_back_line_height_when_acting,avg_defensive_hull_area_when_acting,avg_defenders_behind_ball_when_acting,avg_defenders_within_5_when_acting,avg_defenders_within_10_when_acting,avg_visible_area_when_acting,player_role_cluster,defensive_player_role
Morocco,Sofyan Amrabat,7,186,110,22,19,6,10,11,12,15,1,227,74.83766593663076,35.78135226584643,9.236553858623877,37.958328556744526,582.8988883226444,3.894273127753304,1.3215859030837005,2.5991189427312777,2801.18889974028,1,Pressing Disruptor
Morocco,Hakim Ziyech,7,178,121,28,15,11,9,1,10,10,1,208,61.98906833439891,24.181929405282677,17.061388616727367,46.774494331388745,559.1778407796337,5.038461538461538,1.0721153846153846,1.7355769230769231,2747.654361385604,1,Pressing Disruptor
Morocco,Achraf Hakimi Mouh,7,173,88,16,26,8,11,12,14,9,1,205,80.21450894932228,21.91803201785262,15.804204787021948,34.08621424336599,559.5125136505435,3.55609756097561,1.2439024390243902,2.15609756097561,2567.6205048420825,2,Wide Enforcer
Croatia,Mateo Kovačić,7,169,122,25,16,7,8,5,7,1,3,201,67.10542561543026,51.612227152602806,10.735866148498092,43.91557221110638,508.348091120727,4.7164179104477615,1.208955223880597,2.3034825870646767,2695.0749851320984,1,Pressing Disruptor
Croatia,Joško Gvardiol,7,165,73,21,15,12,12,41,3,7,1,173,84.86702505072807,49.66523493267906,9.786555700493484,32.694678338254874,486.59943287851553,2.3236994219653178,1.4046242774566473,2.791907514450867,2517.0811605085305,0,Deep Stopper
France,Antoine Griezmann,6,152,114,26,10,5,7,8,4,3,1,165,68.7747725336858,31.592654726763687,11.79458943790179,40.10757635629883,567.9324199659251,5.115151515151515,1.2787878787878788,2.333333333333333,2672.5673238005024,1,Pressing Disruptor
Argentina,Enzo Fernandez,7,151,96,11,17,2,6,13,6,8,3,197,77.42713674076548,41.5868294931073,9.261125128629084,32.06023940578813,630.2287798680968,4.913705583756345,1.2436548223350254,2.568527918781726,3017.518831025548,1,Pressing Disruptor
Morocco,Selim Amallah,7,151,96,26,16,10,6,4,4,15,0,180,65.84389411657479,42.45249753896,10.561386298669165,42.38660712554466,584.7824836829003,5.155555555555556,1.1944444444444444,2.316666666666667,2855.2013545329546,1,Pressing Disruptor
Croatia,Marcelo Brozović,6,147,88,18,11,8,16,6,5,12,1,182,73.29829305627459,39.368560307501085,8.464658659221229,39.52833076090368,494.2241438141845,4.313186813186813,1.379120879120879,2.923076923076923,2562.743636582495,1,Pressing Disruptor
Croatia,Luka Modrić,7,141,101,27,8,11,4,1,4,12,0,169,63.01364978456132,34.78752097635997,10.273323357573096,48.20352225651688,490.6704628602574,4.5325443786982245,1.21301775147929,2.159763313609468,2597.282025933743,1,Pressing Disruptor
Morocco,Youssef En-Nesyri,7,137,107,14,4,0,9,11,5,0,1,148,60.92807149928312,41.15759339983646,12.462051830073428,45.43161240734052,498.0937382267772,5.824324324324325,1.1756756756756757,2.0405405405405403,2927.559446961457,1,Pressing Disruptor
Argentina,Rodrigo Javier De Paul,7,136,96,19,7,5,8,3,6,9,2,170,62.45364509627761,28.01099495819805,13.383213677785436,45.15037036526494,686.7491773019764,4.905882352941177,1.076470588235294,1.9,3105.281533192532,1,Pressing Disruptor
Netherlands,Jurriën David Norman Timber,4,136,71,14,15,5,8,16,3,15,2,160,76.56400256000327,27.47267832224948,11.716179519420416,37.70066279763968,597.478641964492,3.86875,1.3625,2.65625,2693.654807802244,2,Wide Enforcer
Croatia,Ivan Perišić,7,134,82,11,9,9,10,11,5,6,0,154,68.1059234043586,56.65902811665431,14.803906993399089,43.27458344962498,496.7407659235176,4.538961038961039,1.2402597402597402,2.142857142857143,2642.899334328805,2,Wide Enforcer
Argentina,Nicolás Hernán Otamendi,7,130,50,6,19,7,8,29,4,12,0,156,82.44559204876728,42.94800208057938,10.021285280420058,33.914548559616385,567.9369101401181,2.551282051282051,1.3846153846153846,2.5705128205128207,2798.3872384643323,0,Deep Stopper
Argentina,Julián Álvarez,7,129,99,25,5,2,8,3,1,11,0,124,57.191288256141455,48.553883665558345,16.44284825422165,45.145750079045726,687.4943810303954,6.346774193548387,1.1129032258064515,1.685483870967742,3350.6708638805467,1,Pressing Disruptor
France,Adrien Rabiot,6,128,75,16,6,5,16,7,8,9,2,144,72.79195211209039,53.79201157075233,11.505465838359896,38.15143625810812,526.8015944908219,4.715277777777778,1.3263888888888888,2.5625,2720.94885645876,2,Wide Enforcer
Netherlands,Frenkie de Jong,5,120,77,22,11,2,12,6,6,6,0,139,69.29147650033406,42.2953220298255,8.938872467670878,41.63918412595203,584.2083844543341,4.402877697841727,1.4028776978417266,2.7050359712230216,2796.0351506525526,1,Pressing Disruptor
Morocco,Sofiane Boufal,7,119,84,21,8,1,11,1,3,10,1,123,64.7142324993626,51.90649639453845,17.471968815300308,42.95663145073668,594.8464324817917,5.471544715447155,1.1219512195121952,1.934959349593496,2838.7934593052305,1,Pressing Disruptor
