player_name,rank_point,rank_p05,rank_p95,rank_std
Damián Emiliano Martínez,26,8.0,32.0,8.65841925526825
Mathew Ryan,9,2.0,28.049999999999955,9.066298914110433
Thibaut Courtois,11,6.0,18.0,3.7646248153036392
Alisson Ramsés Becker,31,17.0,32.0,5.144789985995547
Devis Rogers Epassy Mboka,8,1.0,31.0,10.095566551709728
Milan Borjan,32,25.950000000000003,32.0,2.111337017152875
Keylor Navas Gamboa,21,7.0,32.0,7.9267332489494065
Dominik Livaković,1,1.0,15.0,5.032643440578712
Kasper Schmeichel,19,10.0,29.0,5.775030389530432
Hernán Ismael Galíndez,28,21.0,27.0,1.7271896247951497
Jordan Pickford,20,15.0,23.0,2.3527481803201935
Hugo Lloris,12,5.0,25.0,6.216152829524062
Manuel Neuer,17,7.0,29.0,7.037875815897865
Lawrence Ati-Zigi,18,9.0,27.0,5.575279723924174
Seyed Hossein Hosseini,15,6.0,28.0,6.902463328406755
Shūichi Gonda,13,4.0,29.049999999999955,7.349904761287728
Francisco Guillermo Ochoa Magaña,27,14.0,32.0,5.797680570711016
Yassine Bounou,7,2.0,27.0,7.464596707123568
Andries Noppert,2,2.0,8.0,1.839673884143603
Wojciech Szczęsny,4,2.0,12.0,3.408903636068347
Diogo Meireles Costa,6,2.0,20.0,5.4609226326693285
Meshaal Aissa Barsham,29,21.0,30.0,2.9536255686867245
Mohammed Khalil Al Owais,5,1.0,25.0,8.059060987484822
Edouard Mendy,23,7.0,32.0,7.9830247400343195
Vanja Milinković Savić,16,6.0,27.049999999999955,6.30500626486604
Seung-Gyu Kim,25,12.0,32.0,6.464673232267807
Unai Simón Mendibil,22,10.0,31.0,6.836236098907062
Yann Sommer,14,3.0,30.0,8.50599294615273
Aymen Dahmen,10,4.0,22.0,6.151258732974904
Matthew Charles Turner,3,1.0,21.049999999999955,6.303232186743561
Sergio Rochet Álvarez,24,12.0,30.0,5.718706147372851
Wayne Hennessey,30,24.0,30.0,2.0630501690458276
