match_id,event_index,event_id,period,minute,competition_stage,knockout,attacking_team,defending_team,pre_shot_score_diff_defending,is_regular_penalty,shot_outcome,goal,goal_probability_v3,leverage_v4,p_psxg_v5,prevention_v5,late_or_extra_time_v5,clutch_multiplier_v5,late_game_prevention_residual_v5,match_winning_save_residual_v5,clutch_prevention_residual_v5,state_leverage_prevention_residual_v5,v5_channel_membership,channel,kick_number,kicking_team,scored,goalkeeper_player_id,goalkeeper_player_name,goalkeeper_event_type,goalkeeper_credited_save,pre_kick_win_probability_defending,post_kick_win_probability_defending,defending_wpa,goalkeeper_wpa,attribution_rule
3857254,856,4e6ade78-7d2d-4628-95b5-d380667d7426,1,22.15,Group Stage,False,Denmark,Tunisia,0,False,Saved,0,0.2309542567,0.2452962297,0.2309542567,0.2309542567,False,1,0,0,0,0.006802411223,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857254,1301,0562fc11-c951-4599-9d1f-36763b0b87e3,1,32.96666667,Group Stage,False,Denmark,Tunisia,0,False,Saved,0,0.1343739807,0.259027006,0.1343739807,0.1343739807,False,1,0,0,0,0.011701085,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857254,1672,403eb53c-527a-462c-8081-5b111b758ae1,1,42,Group Stage,False,Tunisia,Denmark,0,False,Saved,0,0.4904977501,0.2716938104,0.4904977501,0.4904977501,False,1,0,0,0,0.06878654693,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857254,2838,7ce22041-277e-47f1-8a76-cdd4afc35782,2,68.43333333,Group Stage,False,Denmark,Tunisia,0,False,Saved,0,0.2528698578,0.3123764202,0.2528698578,0.2528698578,False,1,0,0,0,0.0786359715,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857254,3570,2c44ca3f-6e81-4f0c-a80c-96b9653da2e1,2,91.15,Group Stage,False,Denmark,Tunisia,0,False,Saved,0,0.4308851655,0.3333333333,0.4308851655,0.4308851655,True,1.9375,0.3231638741,0.08079096852,0.4039548426,0,psxg_plus_clutch_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857254,3667,c58e2f4e-aec8-490c-a773-c32f43fd00ed,2,96.3,Group Stage,False,Denmark,Tunisia,0,False,Saved,0,0.2539711339,0.3333333333,0.2539711339,0.2539711339,True,1.9375,0.1904783504,0.04761958761,0.238097938,0,psxg_plus_clutch_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,467,9c33b0de-c433-49e8-980d-cd5eff16f5d0,1,8.866666667,Group Stage,False,Spain,Japan,0,False,Saved,0,0.274489012,0.2304235888,0.274489012,0.274489012,False,1,0,0,0,0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,598,9b897300-f3b0-4bdf-bbb4-a3a31cbe616d,1,11,Group Stage,False,Spain,Japan,0,False,Goal,1,0.6698115652,0.2326130776,0.6698115652,-0.3301884348,False,1,0,0,0,-0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,1209,91c0f01d-e57d-456a-ad9d-eaa9974a9728,1,22.56666667,Group Stage,False,Spain,Japan,-1,False,Saved,0,0.2394824827,0.1341150961,0.2394824827,0.2394824827,False,1,0,0,0,0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,2476,bc946af5-84cd-4f04-a439-78394d428a5a,2,47.8,Group Stage,False,Japan,Spain,1,False,Goal,1,0.2137209117,0.3441383997,0.2137209117,-0.7862790883,False,1,0,0,0,-0.3493217955,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,2510,62233fb1-7200-49ca-aa10-948d071008f0,2,50.23333333,Group Stage,False,Japan,Spain,0,False,Goal,1,0.9550127807,0.2840495279,0.9550127807,-0.04498721932,False,1,0,0,0,-0.008641704682,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,3788,526ba5d5-9a4a-4eb6-8703-2e38c0b4e3a5,2,82.35,Group Stage,False,Japan,Spain,-1,False,Saved,0,0.1426520188,0.03391350515,0.1426520188,0.1426520188,True,1.300870258,0.04291974967,0,0.04291974967,0,psxg_plus_clutch_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,4148,3f03f538-4d45-4190-8de2-2ad65dd0663a,2,88.81666667,Group Stage,False,Spain,Japan,1,False,Saved,0,0.1607081764,0.6490906876,0.1607081764,0.1607081764,True,2.529545039,0.1966483152,0.04916207881,0.2458103941,0,psxg_plus_clutch_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857255,4168,1280d6dd-09c8-485c-9fbd-371ac8726d57,2,89.13333333,Group Stage,False,Spain,Japan,1,False,Saved,0,0.2700853913,0.6538889816,0.2700853913,0.2700853913,True,2.538541841,0.3324301401,0.08310753501,0.4155376751,0,psxg_plus_clutch_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,25,849bc0a6-ca9b-4e58-834e-6aabce567589,1,0.3666666667,Group Stage,False,Switzerland,Serbia,0,False,Saved,0,0.6649420094,0.2219533804,0.6649420094,0.6649420094,False,1,0,0,0,0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,28,7efd8f74-7ea6-468a-a3a9-e82070494959,1,0.3833333333,Group Stage,False,Switzerland,Serbia,0,False,Saved,0,0.1718810485,0.2219533804,0.1718810485,0.1718810485,False,1,0,0,0,0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,361,76686ee8-2674-4762-a7d0-1b9dc6fb4d10,1,10.11666667,Group Stage,False,Serbia,Switzerland,0,False,Saved,0,0.6933314739,0.2316888635,0.6933314739,0.6933314739,False,1,0,0,0,0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,682,546c1d65-f1b5-4c42-8983-b743be29f3f8,1,19.18333333,Group Stage,False,Switzerland,Serbia,0,False,Goal,1,0.2166325861,0.2418046756,0.2166325861,-0.7833674139,False,1,0,0,0,-0.01159401563,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,721,dd7a567d-a8c3-49a4-8343-0596106ffd60,1,21.18333333,Group Stage,False,Switzerland,Serbia,-1,False,Saved,0,0.1948610691,0.1346604794,0.1948610691,0.1948610691,False,1,0,0,0,0,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,763,a74e75d9-6758-403a-8d8e-01e0d502185e,1,22.25,Group Stage,False,Serbia,Switzerland,1,False,Saved,0,0.189955674,0.2758349685,0.189955674,0.189955674,False,1,0,0,0,0.02994038922,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
3857256,925,92e8f2c9-a5de-4e1b-9b4b-b3b6bf96aec9,1,25.93333333,Group Stage,False,Serbia,Switzerland,1,False,Goal,1,0.2708574566,0.2833648333,0.2708574566,-0.7291425434,False,1,0,0,0,-0.137967571,psxg_plus_nonclutch_state_residual,ordinary_or_regular_penalty,,,,,,,,,,,,
