player_name,goalkeeper_score_interval_low_v5,goalkeeper_score_interval_high_v5,goalkeeper_score_std_v5,goalkeeper_rank_interval_low_v5,goalkeeper_rank_interval_high_v5,goalkeeper_rank_std_v5,goalkeeper_bootstrap_iterations_v5
Dominik Livaković,0.20890464,1,0.2518670378,1,20.05,6.714073941,300
Andries Noppert,0.2981320861,0.9681953493,0.1927958894,2,5,1.120634741,300
Damián Emiliano Martínez,0.169752487,1,0.2306636111,1,13.05,3.834838835,300
Yassine Bounou,0.04936595271,1,0.2614099685,1,30,8.119044826,300
Diogo Meireles Costa,0.04987898433,0.8380638782,0.2127394768,2,29.05,8.157801311,300
Wojciech Szczęsny,0,0.6134176542,0.1833555925,4,32,10.09025933,300
Shūichi Gonda,0.1179826705,0.6691713963,0.1648137875,4,18,4.710678177,300
Matthew Charles Turner,0.04315880716,0.6365392706,0.169789829,4,29,6.916145362,300
Hugo Lloris,0.04617984311,0.8475130406,0.2310127205,2,30,9.569123378,300
Mathew Ryan,0.02228869119,0.6585852564,0.1869621109,4,30,8.496322734,300
Mohammed Khalil Al Owais,0.07042539634,0.5370260311,0.1462776046,5,24,6.700927796,300
Aymen Dahmen,0.09610410244,0.5160047758,0.1229659268,7,22,4.805176607,300
Devis Rogers Epassy Mboka,0.08269164972,0.3984032339,0.09933589389,8.95,20,3.724692381,300
Vanja Milinković Savić,0.08710011249,0.3615969427,0.09368674078,10,21,3.20376688,300
Thibaut Courtois,0.04429114381,0.361160323,0.09364319626,10.95,29.05,5.756135857,300
Unai Simón Mendibil,0.0835393313,0.4763955711,0.115195833,6,25,5.359953358,300
Lawrence Ati-Zigi,0.005801227997,0.3844764316,0.1152644041,9,31,7.299323409,300
Sergio Rochet Álvarez,0.0407436069,0.295746997,0.08538678158,14,29.05,5.314812634,300
Seyed Hossein Hosseini,0.04817846311,0.2859717392,0.08290837979,12,29,5.09682254,300
Manuel Neuer,0.0297542374,0.2637992097,0.08121078297,13,31,5.263470549,300
Kasper Schmeichel,0.02738301438,0.2523810657,0.07151121028,17,30,4.024506871,300
Jordan Pickford,0.06351782195,0.3564364885,0.0971344179,8,27,5.61876222,300
Meshaal Aissa Barsham,0.03990994404,0.2209344678,0.06514474029,20,27,1.976132587,300
Hernán Ismael Galíndez,0.03294800915,0.2174735025,0.06577746105,21,29,2.302411779,300
Wayne Hennessey,0.03581527314,0.2076368615,0.06414320675,21,29,2.348607152,300
Francisco Guillermo Ochoa Magaña,0.01237500179,0.2589447868,0.07946147601,14,31,5.528764178,300
Edouard Mendy,0,0.3719818428,0.1280345994,7,32,8.797941047,300
Keylor Navas Gamboa,0,0.4199911785,0.1426514344,7,32,9.81608657,300
Yann Sommer,0,0.3650596339,0.1168328006,9.95,32,8.355790407,300
Milan Borjan,0,0.232187141,0.07657379638,17,32,4.748216039,300
Seung-Gyu Kim,0,0.3209756191,0.1101801449,10,32,8.169493388,300
Alisson Ramsés Becker,0.08805866609,0.2958487408,0.07128750829,14,20,1.796524422,300
