player_id,player_name,team,position_group,publication_global_rank_v3,publication_global_rank_outfield_v4,rank_drop,attack_component_outfield_v4,defensive_component_outfield_v4
296254,Walid Cheddira,Morocco,Forward,256.0,484,228.0,0.12317744756518967,-0.29814968052519863
3347,André Ayew Pelé,Ghana,Attacking Midfield/Wing,131.0,336,205.0,0.33310737859801837,-0.32567204116550313
21736,Zakaria Aboukhlal,Morocco,Forward,204.0,397,193.0,0.18830566233999052,-0.2674758785785746
8776,Takumi Minamino,Japan,Attacking Midfield/Wing,358.0,537,179.0,0.09328541062090862,-0.3126791696560723
29377,Brennan Johnson,Wales,Attacking Midfield/Wing,267.0,445,178.0,0.15061931577562718,-0.2851783925026771
227697,Garang Kuol,Australia,Forward,305.0,482,177.0,0.06920480342763684,-0.24334138761107815
35658,Kamaldeen Sulemana,Ghana,Attacking Midfield/Wing,285.0,461,176.0,0.12392370833182734,-0.28197765814855547
36288,Facundo Pellistri Rebollo,Uruguay,Attacking Midfield/Wing,243.0,418,175.0,0.21340113412747627,-0.3177995286477031
124901,Mohammed Muntari,Qatar,Forward,364.0,539,175.0,0.0816672167083051,-0.3090641366282461
8654,Ante Budimir,Croatia,Forward,326.0,497,171.0,0.0670797847380963,-0.2508609054665574
5246,Luis Alberto Suárez Díaz,Uruguay,Forward,68.0,237,169.0,0.5528320416096247,-0.33529089925460104
29966,Ui-Jo Hwang,South Korea,Forward,249.0,414,165.0,0.1566619763341744,-0.252401082720252
3450,Jordan Ayew,Ghana,Attacking Midfield/Wing,361.0,525,164.0,0.10971125413456574,-0.3169352560361688
5568,Raúl Alonso Jiménez Rodríguez,Mexico,Forward,292.0,454,162.0,0.12143080906252093,-0.2687225542915978
3616,Callum Wilson,England,Forward,188.0,349,161.0,0.18752212697442133,-0.20080835425703542
44225,Osman Bukari,Ghana,Attacking Midfield/Wing,324.0,485,161.0,0.09594125636034229,-0.27231815000950477
25305,Pedro Guilherme Abreu dos Santos,Brazil,Forward,173.0,333,160.0,0.2243317703803555,-0.2125435159915768
59493,Abderrazak Hamdallah,Morocco,Forward,167.0,326,159.0,0.2360851142854442,-0.21489716986487434
10868,Ricardo Jorge Luz Horta,Portugal,Attacking Midfield/Wing,143.0,301,158.0,0.3038904184415316,-0.23049604384118894
3289,Romelu Lukaku Menama,Belgium,Forward,57.0,214,157.0,0.41446337236452746,-0.14825490121110696
30756,Anssumane Fati,Spain,Attacking Midfield/Wing,248.0,405,157.0,0.13830858678660307,-0.2261059370870909
13314,Famara Diedhiou,Senegal,Forward,196.0,346,150.0,0.20351622914911402,-0.21219548714791536
9980,Jamie MacLaren,Australia,Forward,379.0,529,150.0,0.05738604248903274,-0.2683435643411855
5543,Haris Seferović,Switzerland,Forward,342.0,491,149.0,0.07743820026212919,-0.2577070558213524
5239,Alireza Jahanbakhsh,Iran,Attacking Midfield/Wing,411.0,559,148.0,0.0548313480076686,-0.31006361821169875
9638,Jack Grealish,England,Attacking Midfield/Wing,115.0,262,147.0,0.43218596217034794,-0.26145106530018597
3196,Wahbi Khazri,Tunisia,Forward,134.0,281,147.0,0.29154018238710294,-0.1757569806212687
