config_id,variance_share_target,mixture_bounds,attack_reliability_constant,defense_reliability_constant,bootstrap_se_shrinkage_constant,opposition_adjustment_variant,opposition_exposure_scale,prevention_weight,eligible_for_release,eligibility_reason,bootstrap_top50_jaccard_median,bootstrap_top50_jaccard_p10,realized_defensive_variance_share,defensive_variance_scale_factor,single_attribution_p95_absolute_rank_shift,single_attribution_max_absolute_rank_shift,leave_one_match_out_median_top50_jaccard,leave_one_match_out_p95_absolute_rank_shift,selection_status,single_attribution_count,single_attribution_granularity
1,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,1.0,0.0,False,zero-prevention ablation; mandatory family passed,0.4084507042253521,0.2987012987012987,0.35,6.897581008753893,,,,,ineligible_ablation,,
2,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,1.0,0.5,True,eligible,0.42857142857142855,0.3157894736842105,0.35000000000000003,6.302979592698429,,,,,rejected_by_preregistered_metrics,,
3,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,1.0,0.75,True,eligible,0.42857142857142855,0.3157894736842105,0.3499999999999999,5.901050034693689,,,,,rejected_by_preregistered_metrics,,
4,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,1.5,0.0,False,zero-prevention ablation; mandatory family passed,0.42857142857142855,0.3140806561859194,0.35,4.556655888036061,,,,,ineligible_ablation,,
5,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,1.5,0.5,True,eligible,0.42857142857142855,0.3157894736842105,0.35,4.332495065267814,,,,,rejected_by_preregistered_metrics,,
6,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,1.5,0.75,True,eligible,0.42857142857142855,0.3157894736842105,0.35,4.178741335270145,,,,,rejected_by_preregistered_metrics,,
7,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,2.0,0.0,False,zero-prevention ablation; mandatory family passed,0.42857142857142855,0.2987012987012987,0.35,3.399459667233622,,,,,ineligible_ablation,,
8,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,2.0,0.5,True,eligible,0.42857142857142855,0.3157894736842105,0.35000000000000003,3.285398150490469,,,,,rejected_by_preregistered_metrics,,
9,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_log_rank,2.0,0.75,True,eligible,0.42857142857142855,0.3157894736842105,0.35,3.208910667314624,,,,,rejected_by_preregistered_metrics,,
10,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_inverse_sqrt,1.0,0.0,False,zero-prevention ablation; mandatory family passed,0.4084507042253521,0.2987012987012987,0.35,11.187907255012602,,,,,ineligible_ablation,,
11,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_inverse_sqrt,1.0,0.5,True,eligible,0.4084507042253521,0.2987012987012987,0.35000000000000003,9.783091835255636,,,,,rejected_by_preregistered_metrics,,
12,0.35,"[0.25, 0.75]",40.0,180.0,0.5,fifa_inverse_sqrt,1.0,0.75,True,eligible,0.4084507042253521,0.3157894736842105,0.35,8.692830537765209,,,,,rejected_by_preregistered_metrics,,
