tournament_impact_rank_outfield_v4,publication_global_rank_outfield_v4,player_id,player_name,team,position_group,predominant_position_subrole_v4,Tournament Performance Score,tournament_impact_score_outfield_v4,attack_component_outfield_v4,defensive_component_outfield_v4,bootstrap_rank_best_outfield_v4,bootstrap_rank_worst_outfield_v4
1,1,5503,Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,offensive,99.0,5.631850229686206,4.6423659769294225,0.9894842527567833,1,17
2,2,3009,Kylian Mbappé Lottin,France,Forward,offensive,88.8,4.225428841672715,3.9066877217897886,0.31874111988292586,1,32
3,3,5474,Ivan Perišić,Croatia,Attacking Midfield/Wing,offensive,80.3,3.0536684009582444,1.9945082310010076,1.059160169957237,1,78
4,4,5456,Mateo Kovačić,Croatia,Central/Wide Midfield,offensive,76.6,2.5494231494104636,1.1537988450451897,1.3956243043652738,3,100
5,5,5487,Antoine Griezmann,France,Attacking Midfield/Wing,offensive,74.8,2.3014634479076914,1.7344609142017948,0.5670025337058965,3,106
6,6,29560,Julián Álvarez,Argentina,Forward,offensive,74.3,2.2310325266115396,1.8076028722724644,0.42342965433907515,3,123
7,7,5463,Luka Modrić,Croatia,Central/Wide Midfield,offensive,73.9,2.1718248475058717,0.8423725778806262,1.3294522696252453,5,139
8,8,3604,Olivier Giroud,France,Forward,offensive,73.5,2.1115496059395067,1.844218463283751,0.26733114265575564,3,142
9,9,39565,Jamal Musiala,Germany,Attacking Midfield/Wing,offensive,73.2,2.0778665689874964,1.7921157724440082,0.28575079654348845,2,177
10,10,27886,Alexis Mac Allister,Argentina,Central/Wide Midfield,offensive,72.8,2.020995620847201,1.1458594662681656,0.8751361545790354,4,136
11,11,7797,Rodrigo Javier De Paul,Argentina,Defensive Midfield,offensive,72.4,1.9616312640290565,1.0577233070648513,0.9039079569642051,5,136
12,13,33018,Joško Gvardiol,Croatia,Center Back,offensive,72.3,1.9547084089430262,0.26683310446814834,1.687875304474878,7,165
13,14,5460,Andrej Kramarić,Croatia,Attacking Midfield/Wing,offensive,71.5,1.8401707334767383,1.2542827446388407,0.5858879888378976,7,142
14,15,10955,Harry Kane,England,Forward,offensive,71.3,1.8177093191779354,1.5018743831652888,0.3158349360126466,3,212
15,16,5469,Marcelo Brozović,Croatia,Defensive Midfield,offensive,71.3,1.8111395073485976,0.4514168654199441,1.3597226419286534,6,199
16,17,5668,Robert Lewandowski,Poland,Forward,hybrid,70.7,1.7305626878226794,1.7796861567438529,-0.04912346892117345,3,269
17,18,4320,Neymar da Silva Santos Junior,Brazil,Attacking Midfield/Wing,offensive,70.6,1.7210425626901469,1.5211304574991489,0.19991210519099803,3,524
18,19,3471,Dejan Lovren,Croatia,Center Back,offensive,70.6,1.7119751967269892,0.22176997377936059,1.4902052229476286,8,216
19,20,3280,Richarlison de Andrade,Brazil,Forward,hybrid,70.1,1.6450047649689583,1.2862754956870095,0.35872926928194887,3,290
20,21,11456,Lautaro Javier Martínez,Argentina,Forward,offensive,70.1,1.6417945960051266,1.7621689733832697,-0.12037437737814312,6,158
21,22,5245,Achraf Hakimi Mouh,Morocco,Fullback/Wingback,hybrid,69.9,1.6271927276236733,0.4337179550840764,1.1934747725395969,6,199
22,23,16532,Daniel Olmo Carvajal,Spain,Attacking Midfield/Wing,offensive,69.6,1.584014116851507,1.4794137642106515,0.10460035264085536,4,295
23,24,8246,Christian Pulisic,United States,Attacking Midfield/Wing,offensive,69.4,1.557242651317343,1.4328100863697617,0.12443256494758116,3,269
24,25,6301,Youssef En-Nesyri,Morocco,Forward,hybrid,69.4,1.5531160599393048,0.8473675391850642,0.7057485207542404,7,200
25,26,5207,Cristiano Ronaldo dos Santos Aveiro,Portugal,Forward,offensive,69.3,1.5439306287445682,1.5562994814543416,-0.012368852709773488,3,248
26,27,5237,Hakim Ziyech,Morocco,Attacking Midfield/Wing,hybrid,69.3,1.5435718824744626,0.7212951423205923,0.8222767401538703,7,209
27,28,3026,Adrien Rabiot,France,Defensive Midfield,offensive,69.3,1.5410602186555105,1.0104359415849546,0.5306242770705557,7,186
28,29,29163,Josip Juranović,Croatia,Fullback/Wingback,offensive,69.1,1.5131100850904358,0.43395976283256454,1.079150322257871,10,228
