player_id,player_name,team,global_rank_v3,tournament_impact_rank_outfield_v4,uncoupled_raw_rescaled_rank,released_minus_uncoupled_rank
2941,Ismaïla Sarr,Senegal,17.0,35,25,10
2954,Youri Tielemans,Belgium,475.0,521,415,106
2972,Marcus Thuram,France,188.0,272,217,55
2988,Memphis Depay,Netherlands,32.0,49,35,14
2989,Alexander Djiku,Ghana,550.0,536,514,22
2995,Ángel Fabián Di María Hernández,Argentina,13.0,30,17,13
3009,Kylian Mbappé Lottin,France,2.0,2,2,0
3026,Adrien Rabiot,France,36.0,27,75,-48
3034,Kamil Glik,Poland,313.0,237,287,-50
3043,Christian Dannemann Eriksen,Denmark,84.0,82,77,5
3053,Leroy Sané,Germany,77.0,154,128,26
3063,Danilo Luiz da Silva,Brazil,301.0,192,282,-90
3077,Jan Vertonghen,Belgium,369.0,281,381,-100
3083,Heung-Min Son,South Korea,39.0,63,80,-17
3086,Ben Davies,Wales,340.0,369,520,-151
3089,Kevin De Bruyne,Belgium,105.0,114,130,-16
3090,Nicolás Hernán Otamendi,Argentina,452.0,74,553,-479
3135,Chang-Hoon Kwon,South Korea,290.0,383,288,95
3141,André-Frank Zambo Anguissa,Cameroon,354.0,227,515,-288
3167,Antonio Rüdiger,Germany,136.0,95,203,-108
3176,Thomas Meunier,Belgium,316.0,344,337,7
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,116.0,73,144,-71
3196,Wahbi Khazri,Tunisia,127.0,270,178,92
3202,Gabriel Fernando de Jesus,Brazil,167.0,298,193,105
3205,Kyle Walker,England,428.0,302,414,-112
3233,Raheem Sterling,England,184.0,287,254,33
3244,John Stones,England,168.0,76,90,-14
3247,Fábio Henrique Tavares,Brazil,425.0,405,325,80
3264,Vincent Janssen,Netherlands,222.0,350,245,105
3280,Richarlison de Andrade,Brazil,14.0,19,22,-3
3281,Aaron Mooy,Australia,469.0,124,504,-380
3289,Romelu Lukaku Menama,Belgium,54.0,206,140,66
3295,Thiago Emiliano da Silva,Brazil,289.0,85,411,-326
3300,Maya Yoshida,Japan,506.0,123,507,-384
3306,Nathan Aké,Netherlands,485.0,150,417,-267
3308,Kieran Trippier,England,243.0,288,265,23
3311,Daley Blind,Netherlands,92.0,88,87,1
3318,Marcus Rashford,England,55.0,105,76,29
3336,Harry Maguire,England,103.0,53,124,-71
3347,André Ayew Pelé,Ghana,124.0,322,244,78
3377,Timothy Weah,United States,37.0,56,52,4
3382,Luke Shaw,England,70.0,71,126,-55
3404,Youssouf Sabaly,Senegal,153.0,188,367,-179
3436,Idrissa Gana Gueye,Senegal,173.0,184,373,-189
3441,Nikola Vlašić,Croatia,138.0,156,179,-23
3450,Jordan Ayew,Ghana,341.0,503,348,155
3457,Michy Batshuayi Tunga,Belgium,90.0,220,145,75
3471,Dejan Lovren,Croatia,176.0,18,44,-26
3477,Álvaro Borja Morata Martín,Spain,26.0,62,34,28
3499,Jean-Eric Maxim Choupo-Moting,Cameroon,155.0,160,230,-70
3500,Granit Xhaka,Switzerland,282.0,99,324,-225
3517,Aaron Ramsey,Wales,125.0,167,188,-21
3530,Hiroki Sakai,Japan,294.0,496,318,178
3532,Jordan Brian Henderson,England,160.0,126,181,-55
3533,Xherdan Shaqiri,Switzerland,73.0,108,67,41
3551,Karl Brillant Toko Ekambi,Cameroon,260.0,353,293,60
3557,Naïm Sliti,Tunisia,207.0,338,232,106
3570,Pierre-Emile Højbjerg,Denmark,314.0,153,97,56
3604,Olivier Giroud,France,3.0,8,7,1
3616,Callum Wilson,England,178.0,335,237,98
3621,Eden Hazard,Belgium,330.0,375,377,-2
3625,Sofiane Boufal,Morocco,71.0,38,61,-23
3634,Abdelhamid Sabiri,Morocco,254.0,301,269,32
3637,Grzegorz Krychowiak,Poland,454.0,310,525,-215
3658,DeAndre Yedlin,United States,463.0,534,421,113
3669,Virgil van Dijk,Netherlands,271.0,67,62,5
3684,Cheikhou Kouyaté,Senegal,411.0,412,223,189
3709,Daniel Amartey,Ghana,318.0,155,31,124
3767,Ellyes Joris Skhiri,Tunisia,416.0,239,517,-278
3831,Dušan Tadić,Serbia,72.0,79,103,-24
3853,Kieffer Roberto Francisco Moore,Wales,67.0,134,99,35
3913,Edimilson Fernandes,Switzerland,317.0,391,408,-17
3943,Declan Rice,England,279.0,61,215,-154
3957,César Azpilicueta Tanco,Spain,312.0,327,354,-27
3959,Andreas Christensen,Denmark,204.0,141,155,-14
4269,Aleksandar Mitrović,Serbia,31.0,55,46,9
4272,João Mário Naval da Costa Eduardo,Portugal,364.0,408,374,34
4318,Davy Klaassen,Netherlands,142.0,222,211,11
4319,Edinson Roberto Cavani Gómez,Uruguay,194.0,295,207,88
4320,Neymar da Silva Santos Junior,Brazil,12.0,17,19,-2
4324,Daniel Alves da Silva,Brazil,378.0,417,327,90
4353,Aymeric Laporte,Spain,371.0,201,413,-212
4354,Phil Foden,England,34.0,50,33,17
4372,Marcos Aoás Corrêa,Brazil,250.0,83,482,-399
4445,Jules Koundé,France,157.0,104,70,34
4447,Martin Braithwaite Christensen,Denmark,217.0,342,242,100
4506,Nampalys Mendy,Senegal,392.0,221,511,-290
4614,Antonee Robinson,United States,100.0,91,134,-43
4664,Sebastian Szymański,Poland,380.0,433,441,-8
4706,Kalvin Phillips,England,501.0,458,409,49
4734,Matty Cash,Poland,219.0,198,41,157
4767,Chris Mepham,Wales,357.0,257,218,39
4774,Connor Roberts,Wales,328.0,469,438,31
4934,Ethan Ampadu,Wales,446.0,264,250,14
4935,Bryan Mbeumo,Cameroon,231.0,273,278,-5
5178,Salman Mohammed Al Faraj,Saudi Arabia,496.0,479,372,107
5183,Yasir Gharsan Al Shahrani,Saudi Arabia,539.0,497,518,-21
5187,Salem Mohammed Al Dawsari,Saudi Arabia,24.0,45,36,9
5191,Mohammed Al Burayk,Saudi Arabia,259.0,381,350,31
5199,Jorge Resurrección Merodio,Spain,412.0,443,301,142
5203,Sergio Busquets i Burgos,Spain,248.0,84,196,-112
5204,Bruno Miguel Borges Fernandes,Portugal,51.0,39,60,-21
5206,Rúben Santos Gato Alves Dias,Portugal,498.0,207,536,-329
5207,Cristiano Ronaldo dos Santos Aveiro,Portugal,10.0,25,23,2
5209,Raphaël Adelino José Guerreiro,Portugal,99.0,132,152,-20
5211,Jordi Alba Ramos,Spain,86.0,125,174,-49
5214,William Silva de Carvalho,Portugal,505.0,366,541,-175
5219,Romain Saïss,Morocco,174.0,64,253,-189
5220,Morteza Pouraliganji,Iran,212.0,175,216,-41
5222,Roozbeh Cheshmi,Iran,517.0,552,506,46
5224,Sardar Azmoun,Iran,101.0,234,157,77
5226,Mehdi Taremi,Iran,47.0,72,78,-6
5228,Seyed Majid Hosseini,Iran,534.0,306,500,-194
5230,Ehsan Hajsafi,Iran,327.0,323,479,-156
5231,Karim Ansarifard,Iran,400.0,517,339,178
5234,Sofyan Amrabat,Morocco,470.0,29,347,-318
5235,Ramin Rezaeian,Iran,149.0,275,209,66
