player_id,player_name_before,team_before,position_group,functional_role_before,final_player_rating,global_rank,position_rank,role_rank,team_rank,goalkeeper_rank,minutes,player_name_after,team_after,position_group_360,functional_role_after,final_player_rating_v2,global_rank_v2,position_rank_v2,role_rank_v2,team_rank_v2,gk_rating_v2,gk_rank_v2,minutes_played,_merge
2941,Ismaïla Sarr,Senegal,Attacking Midfield/Wing,Progressive Winger,0.607043691445582,12.0,7,9,1,,365.2,Ismaïla Sarr,Senegal,AM,Progressive Winger,0.6180016419782259,57.0,24.0,21.0,1.0,,,365.2,both
2954,Youri Tielemans,Belgium,Defensive Midfield,Holding Anchor,0.4229572739626819,468.0,66,50,13,,102.93333333333334,Youri Tielemans,Belgium,DM,Holding Anchor,0.3509922191910188,312.0,41.0,24.0,7.0,,,102.93333333333334,both
2972,Marcus Thuram,France,Central/Wide Midfield,Box-to-Box / Engine Midfielder,0.5052844476330444,199.0,10,3,11,,181.5833333333333,Marcus Thuram,France,CM,Box-to-Box / Engine Midfielder,0.4675533926232028,163.0,18.0,9.0,12.0,,,181.5833333333333,both
2988,Memphis Depay,Netherlands,Forward,Target Forward,0.5245114819711764,136.0,15,12,5,,315.58333333333337,Memphis Depay,Netherlands,FW,Target Forward,0.7234496476712097,18.0,8.0,4.0,1.0,,,315.58333333333337,both
2989,Alexander Djiku,Ghana,Center Back,Sweeper CB,0.402145138762625,514.0,84,66,14,,110.5,Alexander Djiku,Ghana,CB,Sweeper CB,0.1832407467212828,526.0,99.0,72.0,16.0,,,110.5,both
2995,Ángel Fabián Di María Hernández,Argentina,Central/Wide Midfield,Progressive Winger,0.6357339467342342,6.0,1,5,2,,304.81666666666666,Ángel Fabián Di María Hernández,Argentina,AM,Progressive Winger,0.7554158967629158,12.0,6.0,6.0,2.0,,,304.81666666666666,both
3009,Kylian Mbappé Lottin,France,Forward,Progressive Winger,0.6558014063071751,3.0,1,2,1,,654.3000000000001,Kylian Mbappé Lottin,France,FW,Progressive Winger,0.9389170170453992,2.0,1.0,2.0,1.0,,,654.3000000000001,both
3026,Adrien Rabiot,France,Defensive Midfield,Holding Anchor,0.5223640113797562,146.0,3,4,7,,529.25,Adrien Rabiot,France,DM,Holding Anchor,0.5810485164384052,74.0,6.0,5.0,8.0,,,529.25,both
3034,Kamil Glik,Poland,Center Back,Sweeper CB,0.4414224637620063,400.0,36,24,11,,389.75,Kamil Glik,Poland,CB,Sweeper CB,0.2328683204528107,481.0,83.0,60.0,10.0,,,389.75,both
3043,Christian Dannemann Eriksen,Denmark,Central/Wide Midfield,Progressive Winger,0.4986999532291675,218.0,15,59,10,,290.8,Christian Dannemann Eriksen,Denmark,CM,Progressive Winger,0.6216839909243582,54.0,5.0,19.0,1.0,,,290.8,both
3053,Leroy Sané,Germany,Attacking Midfield/Wing,Progressive Winger,0.5759124774782247,30.0,15,17,4,,126.81666666666663,Leroy Sané,Germany,AM,Progressive Winger,0.5846019535956654,73.0,28.0,24.0,8.0,,,126.81666666666663,both
3063,Danilo Luiz da Silva,Brazil,Fullback/Wingback,Sweeper CB,0.5023084150203483,207.0,73,3,15,,290.9166666666667,Danilo Luiz da Silva,Brazil,FB,Attacking Wingback,0.2822529328925005,415.0,66.0,49.0,22.0,,,290.9166666666667,both
3067,Ederson Santana de Moraes,Brazil,Goalkeeper,Goalkeeper,0.514102258765756,,22,22,12,22.0,100.1,Ederson Santana de Moraes,Brazil,GK,Goalkeeper,,,,,,,,100.1,both
3077,Jan Vertonghen,Belgium,Center Back,Sweeper CB,0.4137033299319341,488.0,68,54,14,,284.26666666666665,Jan Vertonghen,Belgium,CB,Sweeper CB,0.2747715391017816,428.0,72.0,51.0,14.0,,,284.26666666666665,both
3083,Heung-Min Son,South Korea,Attacking Midfield/Wing,Target Forward,0.5729253689121308,35.0,17,1,1,,389.65,Heung-Min Son,South Korea,AM,Target Forward,0.4498823456290418,179.0,53.0,23.0,4.0,,,389.65,both
3086,Ben Davies,Wales,Center Back,Wide Creator,0.4472443134857112,384.0,29,29,11,,261.3333333333333,Ben Davies,Wales,CB,Ball-Playing Centre-Back,0.3537319060218123,304.0,41.0,15.0,6.0,,,261.3333333333333,both
3089,Kevin De Bruyne,Belgium,Attacking Midfield/Wing,Progressive Winger,0.5610094717432955,50.0,28,26,3,,284.26666666666665,Kevin De Bruyne,Belgium,AM,Progressive Winger,0.6318851971552664,48.0,21.0,17.0,1.0,,,284.26666666666665,both
3090,Nicolás Hernán Otamendi,Argentina,Center Back,Sweeper CB,0.4198000736713221,473.0,59,45,17,,733.9,Nicolás Hernán Otamendi,Argentina,CB,Sweeper CB,0.4108143687799845,227.0,26.0,15.0,12.0,,,733.9,both
3099,Hugo Lloris,France,Goalkeeper,Goalkeeper,0.4574744302000043,,35,35,16,35.0,614.2,Hugo Lloris,France,GK,Goalkeeper,,,,,,0.193556575482166,22.0,614.2,both
