path,folder,filename,extension,bytes,format_details,structure,information
audit/expected_vs_actual_possessions.parquet,audit,expected_vs_actual_possessions.parquet,.parquet,132108,Binary table; inspect with pandas or PyArrow for the physical schema,Apache Parquet columnar dataset,Observed-versus-model-expected audit output.
audit/expected_vs_actual_possessions_oof.parquet,audit,expected_vs_actual_possessions_oof.parquet,.parquet,159200,Binary table; inspect with pandas or PyArrow for the physical schema,Apache Parquet columnar dataset,Observed-versus-model-expected audit output.
audit/expected_vs_actual_team_summary.csv,audit,expected_vs_actual_team_summary.csv,.csv,3563,32 data rows × 7 columns,"Columns: team, possessions, total_wasted_net_xg, mean_eva_gap, actual_expected_net_xg, optimal_expected_net_xg, most_common_optimal_style",Observed-versus-model-expected audit output.
audit/expected_vs_actual_team_summary_oof.csv,audit,expected_vs_actual_team_summary_oof.csv,.csv,4374,32 data rows × 8 columns,"Columns: team, possessions, total_wasted_net_xg, mean_eva_gap, actual_expected_net_xg, optimal_expected_net_xg, most_common_optimal_style, tactical_reason_code",Observed-versus-model-expected audit output.
audit/recurrent_tactical_mistakes.csv,audit,recurrent_tactical_mistakes.csv,.csv,36622,362 data rows × 7 columns,"Columns: team, defensive_style, actual_style, optimal_style, possessions, wasted_net_xg, mean_eva_gap",Tabular dataset: recurrent tactical mistakes.
audit/recurrent_tactical_mistakes_oof.csv,audit,recurrent_tactical_mistakes_oof.csv,.csv,45157,465 data rows × 7 columns,"Columns: team, defensive_style, actual_style, optimal_style, possessions, wasted_net_xg, mean_eva_gap",Tabular dataset: recurrent tactical mistakes oof.
diagnostics/eda_validation_report.json,diagnostics,eda_validation_report.json,.json,25193,Object with 13 top-level keys,"Top-level keys: schema_version, status, staging, gates, player_metrics, spatial_metrics, model_metrics, report_metrics, counterfactuals, artifact_regression, player_role_valuation_challenger, role_aware_valuation_challenger, continuous_role_refinement",JSON artifact: eda validation report.
diagnostics/final_validation.csv,diagnostics,final_validation.csv,.csv,1449,7 data rows × 13 columns,"Columns: model_name, algorithm_type, brier_score, roc_auc, pr_auc, calibration_error, latency_sec, rank_brier, rank_roc_auc, rank_overall, evaluation_scope, rows, selected",Tabular dataset: final validation.
diagnostics/model_audit_trail.json,diagnostics,model_audit_trail.json,.json,5096,Object with 5 top-level keys,"Top-level keys: audit_schema_version, pipeline_scope, audit_date, pre_upgrade_state, upgrade_target",JSON artifact: model audit trail.
diagnostics/player_rating_uncertainty.csv,diagnostics,player_rating_uncertainty.csv,.csv,24892,142 data rows × 13 columns,"Columns: team, player_id, player, position_group, minutes, final_player_rating, rating_se, rating_ci_low, rating_ci_high, team_rank, mean_rank, p_rank1, p_top3",Tabular dataset: player rating uncertainty.
diagnostics/player_role_challenger_validation.json,diagnostics,player_role_challenger_validation.json,.json,706,Object with 4 top-level keys,"Top-level keys: schema_version, policy, probabilistic_roles, decisions",Baseline-versus-challenger role discovery validation results.
diagnostics/prospective_model_validation.csv,diagnostics,prospective_model_validation.csv,.csv,7713,26 data rows × 16 columns,"Columns: target, candidate, layout, depth, calibration, log_loss, brier, roc_auc, pr_auc, ece, roc_delta_vs_reference, roc_delta_ci_low, roc_delta_ci_high, passes_gate, decision, latency_sec",Tabular dataset: prospective model validation.
diagnostics/rating_validation_comparison.csv,diagnostics,rating_validation_comparison.csv,.csv,61157,593 data rows × 8 columns,"Columns: player, old_rating, new_rating, rating_difference, functional_role, old_global_rank, new_global_rank, rank_improvement",Legacy-versus-current player rating and rank comparison.
diagnostics/role_aware_valuation_validation.json,diagnostics,role_aware_valuation_validation.json,.json,642,Object with 10 top-level keys,"Top-level keys: schema_version, decision, production_promoted, selected_layer, attention_metric_gate_passed, rating_weights, spearman_rank_correlation, attention_metrics, benchmarks, comparison_csv",Validation diagnostics for the role-aware contribution model.
diagnostics/role_refinement_comparison.csv,diagnostics,role_refinement_comparison.csv,.csv,37489,142 data rows × 16 columns,"Columns: player_id, player, team, position_group, kmeans_functional_role, functional_role, role_refinement_applied, role_refinement_reason, progression_score, creation_score, finishing_score, pressing_score, defensive_score, ball_security_score, aerial_score, completeness_score",Tabular dataset: role refinement comparison.
diagnostics/role_refinement_validation.json,diagnostics,role_refinement_validation.json,.json,408,Object with 8 top-level keys,"Top-level keys: schema_version, decision, production_promoted, eligible_players, changed_roles, unchanged_roles, change_rate, gates",JSON artifact: role refinement validation.
diagnostics/v2_baseline_model_summary.json,diagnostics,v2_baseline_model_summary.json,.json,78510,Object with 12 top-level keys,"Top-level keys: schema_version, selected_layer, metric_gate_passed, metrics, metric_gate, validation_regression_gate, feature_importance, role_aware_elastic_net, goalkeeper_model, cluster_stability, probabilistic_role_selection, rating_weights","Model-selection, validation, calibration, feature-importance, and metric-gate summary."
diagnostics/v2_before_after_player_ratings.csv,diagnostics,v2_before_after_player_ratings.csv,.csv,132868,593 data rows × 25 columns,"Columns: player_id, player_name_before, team_before, position_group, functional_role_before, final_player_rating, global_rank, position_rank, role_rank, team_rank, goalkeeper_rank, minutes, player_name_after, team_after, position_group_360, functional_role_after, final_player_rating_v2, global_rank_v2, position_rank_v2, role_rank_v2, team_rank_v2, gk_rating_v2, gk_rank_v2, minutes_played, _merge",Tabular dataset: v2 before after player ratings.
diagnostics/v2_docx_audit.json,diagnostics,v2_docx_audit.json,.json,446,Object with 7 top-level keys,"Top-level keys: document, numbered_sections, tables, inline_shapes, stale_phrases_found, rating_weights, calibration_fallback",JSON artifact: v2 docx audit.
