layout,target,model,fold,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Context + History,shot,Logistic Regression,0,1865,0.13083109919571045,0.36817575222465204,0.10958968785550086,0.6836298176596111,0.23385966413521853,0.02482562620994304
Context + History,shot,Random Forest,0,1865,0.13083109919571045,0.3526744105195592,0.10598023822141289,0.7193545777247398,0.2653202934279283,0.017811514228652153
Context + History,shot,Gradient Boosting,0,1865,0.13083109919571045,0.3538262144045437,0.10681253358032,0.7145963329658882,0.252518001214784,0.015085117435407322
Context + History,shot,Histogram Gradient Boosting,0,1865,0.13083109919571045,0.3505451496616238,0.10594392113965947,0.7220016990119436,0.2686411801115815,0.02311792814635054
Context + History,shot,XGBoost,0,1865,0.13083109919571045,0.3516747057437897,0.10639295727014542,0.7169918892406023,0.2614098679119531,0.016457459274629483
Context + History,shot,Logistic Regression,1,1966,0.12054933875890132,0.34732471103690193,0.10291948284522148,0.6925346472315159,0.2208434950302522,0.02194288497442194
Context + History,shot,Random Forest,1,1966,0.12054933875890132,0.3455877325399185,0.10070865695080355,0.6953142349544748,0.267851235142896,0.038361906858653316
Context + History,shot,Gradient Boosting,1,1966,0.12054933875890132,0.33280892447555466,0.09774991969841748,0.7031026934424669,0.27942927349326324,0.018214639344316948
Context + History,shot,Histogram Gradient Boosting,1,1966,0.12054933875890132,0.3474673699706908,0.10149111572639169,0.6821276658052141,0.2500188632655765,0.03934543610291709
Context + History,shot,XGBoost,1,1966,0.12054933875890132,0.33095210790634155,0.09774286299943924,0.7114499979256809,0.29052894190686906,0.027680305296049233
Context + History,shot,Logistic Regression,2,1945,0.119280205655527,0.33555564393289816,0.0987833867729455,0.7127971697163678,0.25364728353104943,0.022755334038531343
Context + History,shot,Random Forest,2,1945,0.119280205655527,0.3237348879255436,0.09659364605818854,0.7287401614429212,0.2876903326596631,0.019793817140233844
Context + History,shot,Gradient Boosting,2,1945,0.119280205655527,0.31760751001939164,0.09405486919205393,0.7533755560923566,0.3158073653126282,0.015097174207623427
Context + History,shot,Histogram Gradient Boosting,2,1945,0.119280205655527,0.3241721481770041,0.0963966215180494,0.7340746220584979,0.2884086207646723,0.018917728344088714
Context + History,shot,XGBoost,2,1945,0.119280205655527,0.3175623118877411,0.09450109302997589,0.7485204420556797,0.3080818799684988,0.0072292648332437665
Context + History,shot,Logistic Regression,3,1975,0.13063291139240507,0.35715498603372575,0.10801153630114645,0.7179639988622665,0.24496524536257455,0.01730596879687742
Context + History,shot,Random Forest,3,1975,0.13063291139240507,0.34907880771992683,0.10371101613664965,0.7242441070372428,0.30058077912127024,0.018665099234373993
Context + History,shot,Gradient Boosting,3,1975,0.13063291139240507,0.34596374432822397,0.10448046259920044,0.7347737851760552,0.28232810706506967,0.018113748092791
Context + History,shot,Histogram Gradient Boosting,3,1975,0.13063291139240507,0.34402451692912744,0.10361900267531388,0.7337850406107642,0.29766437674168755,0.017215900073597003
Context + History,shot,XGBoost,3,1975,0.13063291139240507,0.3404269814491272,0.10283243656158447,0.7412728618963127,0.31046469743808547,0.013702769901933545
Context + History,shot,Logistic Regression,4,1934,0.12202688728024819,0.3405770860074493,0.10170598806493195,0.7219098740292669,0.2492844519819487,0.02121746105768079
Context + History,shot,Random Forest,4,1934,0.12202688728024819,0.338112255373717,0.10138023170513552,0.7076408436645305,0.25294283690622943,0.021051560282700856
Context + History,shot,Gradient Boosting,4,1934,0.12202688728024819,0.33109379610582,0.0990681325826914,0.7354065600606896,0.2672891993321283,0.02099313817550057
Context + History,shot,Histogram Gradient Boosting,4,1934,0.12202688728024819,0.3328071538545852,0.10063933912683769,0.726548930945679,0.2510780622402329,0.01616326456421677
Context + History,shot,XGBoost,4,1934,0.12202688728024819,0.32882049679756165,0.0993088036775589,0.7353578986245035,0.25949110853473034,0.014502756432423056
Context + History,shot,Soft Vote: All,0,1865,0.13083109919571045,0.3489261042653179,0.10553602616610587,0.722077547759428,0.2720498197462805,0.010221134371264077
Context + History,shot,Soft Vote: All,1,1966,0.12054933875890132,0.33431566492561265,0.09844414413274197,0.7061909886693365,0.2794475551113948,0.0309696351066056
Context + History,shot,Soft Vote: All,2,1945,0.119280205655527,0.31871806754858883,0.09452008112393064,0.7492325422227589,0.3142105828138663,0.01748750187625148
Context + History,shot,Soft Vote: All,3,1975,0.13063291139240507,0.34139549663074176,0.10322361165425246,0.7407186683100595,0.2948152530900944,0.007052073290372668
Context + History,shot,Soft Vote: All,4,1934,0.12202688728024819,0.32921109265259013,0.09893258836929454,0.7356723263660138,0.2675077121299556,0.012077369499874922
Context + History,shot,Soft Vote: Boosting,0,1865,0.13083109919571045,0.34988894080572,0.10583510360220566,0.7218639071206804,0.2687401724874955,0.014159662025051048
Context + History,shot,Soft Vote: Boosting,1,1966,0.12054933875890132,0.33367794879938595,0.09822669983084413,0.7027146737339942,0.28465474894151066,0.02814822211893802
Context + History,shot,Soft Vote: Boosting,2,1945,0.119280205655527,0.31750625864359217,0.0943780273075102,0.7484751494655475,0.3117249665881174,0.011014054369476589
Context + History,shot,Soft Vote: Boosting,3,1975,0.13063291139240507,0.3410259861462821,0.1030660482831488,0.7406261145950437,0.3022331198987835,0.010982959327809879
Context + History,shot,Soft Vote: Boosting,4,1934,0.12202688728024819,0.3291061310149907,0.09910695816421085,0.7338755964145256,0.2632684079248509,0.011380425761842878
Context + History,shot,Soft Vote: LR + XGB,0,1865,0.13083109919571045,0.3548774489923552,0.10677343235700545,0.709954389619846,0.2515923412044411,0.017316320708770955
Context + History,shot,Soft Vote: LR + XGB,1,1966,0.12054933875890132,0.33512894126889403,0.0989287172319391,0.711406071166231,0.2612168222759417,0.017762604335091914
Context + History,shot,Soft Vote: LR + XGB,2,1945,0.119280205655527,0.32277794299884405,0.09535561910244916,0.7436061960263299,0.29711814120012214,0.01986231266972314
Context + History,shot,Soft Vote: LR + XGB,3,1975,0.13063291139240507,0.34526696991248723,0.10452462456950487,0.7385199532265128,0.27533830532941284,0.01547654571181646
Context + History,shot,Soft Vote: LR + XGB,4,1934,0.12202688728024819,0.3309640369981763,0.09934008229815042,0.7394230001397457,0.26448737592427884,0.01774043807807938
Context + History,box_entry,Logistic Regression,0,1865,0.33351206434316355,0.5319959190318144,0.18071353196840634,0.7620190753104846,0.6242096355077577,0.05580240822261439
Context + History,box_entry,Random Forest,0,1865,0.33351206434316355,0.506068018287418,0.1719309205280654,0.7757383469616346,0.646795802300881,0.034775876363385104
Context + History,box_entry,Gradient Boosting,0,1865,0.33351206434316355,0.5064946096194527,0.17177583808434593,0.7779397422996432,0.6455814544063577,0.030323205609873408
Context + History,box_entry,Histogram Gradient Boosting,0,1865,0.33351206434316355,0.5068791133439742,0.17310934990980198,0.7770809135661311,0.6475865286272833,0.03302843855186241
Context + History,box_entry,XGBoost,0,1865,0.33351206434316355,0.5015944838523865,0.1709669828414917,0.7800467182136362,0.6543226054035789,0.03002662932345439
Context + History,box_entry,Logistic Regression,1,1966,0.3158697863682604,0.5213982899866938,0.17639472902343103,0.758196098150842,0.6099468792574776,0.03963003602690586
Context + History,box_entry,Random Forest,1,1966,0.3158697863682604,0.5036265730762356,0.17088423929936916,0.7682787685050494,0.6238328466196058,0.031571155676101505
Context + History,box_entry,Gradient Boosting,1,1966,0.3158697863682604,0.49971591419230904,0.16873465314881858,0.772904357404115,0.6214855087899778,0.028820566035561275
