layout,outcome,model,rows,mae,rmse,spearman,outcome_rank,result_type,classifier,conditional_regressor
Player-Aware,attacking_xg_given_shot,Random Forest,1207.0,0.0976393624353408,0.14775221473645256,0.031374427341624905,1.0,conditional,,
Player-Aware,attacking_xg_given_shot,Gradient Boosting,1207.0,0.08549833517274023,0.14812638260766478,0.030899629198553404,2.0,conditional,,
Context + History,attacking_xg_given_shot,Gradient Boosting,1207.0,0.08598212138898413,0.14832221115152636,0.03446037789150904,3.0,conditional,,
Context + History,attacking_xg_given_shot,Random Forest,1207.0,0.09678733663836037,0.14842735642106483,0.024697114848823802,4.0,conditional,,
Context + History,attacking_xg_given_shot,Ridge,1207.0,0.0973585234174724,0.14933151241832224,0.06001047639902006,5.0,conditional,,
Context + History,attacking_xg_given_shot,XGBoost,1207.0,0.09776824756191028,0.15025975581900936,0.10714052700124448,6.0,conditional,,
Player-Aware,attacking_xg_given_shot,XGBoost,1207.0,0.0980242262579494,0.1513093028744012,0.05181855771134067,7.0,conditional,,
Player-Aware,attacking_xg_given_shot,Histogram Gradient Boosting,1207.0,0.10019040530737634,0.15209679032559525,0.0523562053778463,8.0,conditional,,
Context + History,attacking_xg_given_shot,Histogram Gradient Boosting,1207.0,0.10066989580612859,0.15447204698502556,0.061401877009723625,9.0,conditional,,
Player-Aware,attacking_xg_given_shot,Ridge,1207.0,0.11113640612815093,0.16605868382478856,0.03611914805732643,10.0,conditional,,
Context + History,transition_xg_given_shot,Random Forest,145.0,0.13668633940055455,0.19598805488727478,0.009903952133522279,1.0,conditional,,
Player-Aware,transition_xg_given_shot,Random Forest,145.0,0.1347178956290243,0.197059657216522,-0.040450322783813566,2.0,conditional,,
Context + History,transition_xg_given_shot,Gradient Boosting,145.0,0.13116637863656583,0.20305738320600078,-0.022988505747126433,3.0,conditional,,
Player-Aware,transition_xg_given_shot,Gradient Boosting,145.0,0.13477249525998786,0.2061048425955524,-0.05797124268941034,4.0,conditional,,
Context + History,transition_xg_given_shot,Ridge,145.0,0.149501635686186,0.2083264225378749,0.0805903369709912,5.0,conditional,,
Context + History,transition_xg_given_shot,XGBoost,145.0,0.15534607970489794,0.21713606051621528,0.06920802070780388,6.0,conditional,,
Player-Aware,transition_xg_given_shot,XGBoost,145.0,0.15429708108635276,0.21974761896329884,-0.09101922041732129,7.0,conditional,,
Player-Aware,transition_xg_given_shot,Histogram Gradient Boosting,145.0,0.16208746095966903,0.22497660698794347,-0.0815396429898775,8.0,conditional,,
Context + History,transition_xg_given_shot,Histogram Gradient Boosting,145.0,0.16363771898104407,0.22511153790273022,-0.041231999936647355,9.0,conditional,,
Player-Aware,transition_xg_given_shot,Ridge,145.0,0.1673098514347793,0.23645213795924863,-0.01892772692445555,10.0,conditional,,
Context + History,expected_attack_xg,,,0.022947747359681678,0.061966546158150004,0.25869191231420813,,hurdle,Soft Vote: Boosting,Random Forest
Context + History,expected_attack_xg,,,0.023069542004029914,0.06196724703257344,0.25869191231420813,,hurdle,Soft Vote: Boosting,Histogram Gradient Boosting
Context + History,expected_attack_xg,,,0.023086725940413857,0.06196741201478393,0.25869191231420813,,hurdle,Soft Vote: Boosting,XGBoost
Context + History,expected_attack_xg,,,0.022683702875509,0.06196786726447362,0.25869191231420813,,hurdle,Soft Vote: Boosting,Ridge
Context + History,expected_attack_xg,,,0.02318329833322083,0.06199062158662351,0.2602556617703384,,hurdle,Soft Vote: All,Random Forest
Context + History,expected_attack_xg,,,0.022912703295393598,0.061991188094762686,0.2602556617694789,,hurdle,Soft Vote: All,Ridge
Context + History,expected_attack_xg,,,0.023308397015862396,0.06199167111424404,0.2602556617694789,,hurdle,Soft Vote: All,Histogram Gradient Boosting
Context + History,expected_attack_xg,,,0.023326036430280375,0.06199188528297308,0.2602556617703384,,hurdle,Soft Vote: All,XGBoost
Context + History,expected_attack_xg,,,0.022691751573761406,0.061992230929855036,0.2598599793655573,,hurdle,XGBoost,Ridge
