Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
1,1,Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,1
7,2,Julián Álvarez,Argentina,Forward,0.4317848804
9,3,Lautaro Javier Martínez,Argentina,Forward,0.394574342
15,4,Ángel Fabián Di María Hernández,Argentina,Central/Wide Midfield,0.3675430651
36,5,Marcos Javier Acuña,Argentina,Fullback/Wingback,0.2553219365
40,6,Alexis Mac Allister,Argentina,Central/Wide Midfield,0.2529662302
55,7,Rodrigo Javier De Paul,Argentina,Defensive Midfield,0.2183062377
72,8,Nicolás Alejandro Tagliafico,Argentina,Fullback/Wingback,0.1801120343
100,9,Nahuel Molina Lucero,Argentina,Fullback/Wingback,0.1519953565
165,10,Enzo Fernandez,Argentina,Defensive Midfield,0.1078419038
258,11,Leandro Daniel Paredes,Argentina,Defensive Midfield,0.07220971058
289,12,Cristian Gabriel Romero,Argentina,Center Back,0.06341367515
319,13,Alejandro Darío Gómez,Argentina,Central/Wide Midfield,0.05611645857
353,14,Lisandro Martínez,Argentina,Center Back,0.04740981865
412,15,Damián Emiliano Martínez,Argentina,Goalkeeper,0.03568084312
416,16,Nicolás Hernán Otamendi,Argentina,Center Back,0.035035148
440,17,Gonzalo Ariel Montiel,Argentina,Fullback/Wingback,0.02990779248
478,18,Exequiel Alejandro Palacios,Argentina,Central/Wide Midfield,0.02432455794
556,19,Germán Alejandro Pezzella,Argentina,Center Back,0.01229306831
559,20,Guido Rodríguez,Argentina,Defensive Midfield,0.01209758989
