Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
119,1,Mathew Leckie,Australia,Central/Wide Midfield,0.1383281777
132,2,Craig Goodwin,Australia,Central/Wide Midfield,0.1271130135
163,3,Mitchell Thomas Duke,Australia,Forward,0.1091467792
250,4,Aziz Eraltay Behich,Australia,Fullback/Wingback,0.0753153429
253,5,Kye Rowles,Australia,Center Back,0.07489298192
262,6,Riley McGree,Australia,Forward,0.07146251321
265,7,Harry Souttar,Australia,Center Back,0.07034420806
284,8,Mathew Ryan,Australia,Goalkeeper,0.06611828726
293,9,Garang Kuol,Australia,Forward,0.06227857185
306,10,Fran Karačić,Australia,Fullback/Wingback,0.05850921013
329,11,Jackson Irvine,Australia,Forward,0.05403041104
363,12,Jamie MacLaren,Australia,Forward,0.04581162644
377,13,Miloš Degenek,Australia,Fullback/Wingback,0.04281485604
431,14,Keanu Baccus,Australia,Defensive Midfield,0.03117032036
470,15,Ajdin Hrustic,Australia,Central/Wide Midfield,0.02563833828
486,16,Aaron Mooy,Australia,Defensive Midfield,0.02328986764
541,17,Nathaniel Atkinson,Australia,Fullback/Wingback,0.01406826413
