Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
23,1,Thiago Emiliano da Silva,Brazil,CB,0.958638
30,2,Marcos Aoás Corrêa,Brazil,CB,0.946168
40,3,Richarlison de Andrade,Brazil,FW,0.931345
45,4,Neymar da Silva Santos Junior,Brazil,AM,0.926388
58,5,Alex Sandro Lobo Silva,Brazil,FB,0.902889
65,6,Lucas Tolentino Coelho de Lima,Brazil,DM,0.88884
66,7,Carlos Henrique Casimiro,Brazil,DM,0.883749
70,8,Vinícius José Paixão de Oliveira Júnior,Brazil,AM,0.874269
141,9,Raphael Dias Belloli,Brazil,AM,0.700019
151,10,Éder Gabriel Militão,Brazil,FB,0.674522
203,11,Rodrygo Silva de Goes,Brazil,AM,0.572258
234,12,Antony Matheus dos Santos,Brazil,AM,0.502357
264,13,Fábio Henrique Tavares,Brazil,DM,0.441812
280,14,Daniel Alves da Silva,Brazil,FB,0.41813
285,15,Gleison Bremer Silva Nascimento,Brazil,CB,0.40809
295,16,Frederico Rodrigues Santos,Brazil,DM,0.398243
318,17,Gabriel Teodoro Martinelli Silva,Brazil,AM,0.358566
335,18,Danilo Luiz da Silva,Brazil,FB,0.335998
417,19,Gabriel Fernando de Jesus,Brazil,FW,0.231327
446,20,Pedro Guilherme Abreu dos Santos,Brazil,FW,0.187145
457,21,Bruno Guimarães Rodriguez Moura,Brazil,DM,0.178744
483,22,Alisson Ramsés Becker,Brazil,GK,0.147644
499,23,Alex Nicolao Telles,Brazil,FB,0.132667
563,24,Éverton Augusto de Barros Ribeiro,Brazil,AM,0.088237
,,Ederson Santana de Moraes,Brazil,GK,
