Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
35,1,Jonathan David,Canada,Forward,0.256326799
58,2,Alphonso Davies,Canada,Central/Wide Midfield,0.2067689517
63,3,Tajon Buchanan,Canada,Central/Wide Midfield,0.1943311103
85,4,Alistair Johnston,Canada,Fullback/Wingback,0.1601590854
152,5,Cyle Larin,Canada,Forward,0.1074654112
215,6,Richie Laryea,Canada,Fullback/Wingback,0.08316293846
274,7,David Junior Hoilett,Canada,Central/Wide Midfield,0.06316789766
363,8,Stephen Antunes Eustáquio,Canada,Defensive Midfield,0.04169480009
372,9,Jonathan Osorio,Canada,Defensive Midfield,0.03904948942
385,10,Sam Adekugbe,Canada,Fullback/Wingback,0.03583367467
434,11,Atiba Hutchinson,Canada,Defensive Midfield,0.02782729023
440,12,Steven de Sousa Vitoria,Canada,Center Back,0.02722988883
497,13,Mark Anthony Kaye,Canada,Defensive Midfield,0.01790020855
499,14,Ismael Koné,Canada,Defensive Midfield,0.01750748812
551,15,Kamal Miller,Canada,Center Back,0.004918176312
