Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
42,1,Jean-Charles Castelletto,Cameroon,CB,0.929124
124,2,Nouhou Tolo,Cameroon,FB,0.739861
180,3,André-Frank Zambo Anguissa,Cameroon,DM,0.627419
200,4,Jean-Eric Maxim Choupo-Moting,Cameroon,FW,0.573097
208,5,Vincent Paté Aboubakar,Cameroon,FW,0.565234
211,6,Devis Rogers Epassy Mboka,Cameroon,GK,0.55977
306,7,Ngoran Suiru Fai Collins,Cameroon,FB,0.377414
312,8,Enzo Ebosse,Cameroon,CB,0.368164
313,9,Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,CB,0.366687
325,10,Karl Brillant Toko Ekambi,Cameroon,AM,0.355471
351,11,Pierre Kunde Malong,Cameroon,DM,0.313114
367,12,Bryan Mbeumo,Cameroon,AM,0.290987
369,13,Gaël Ondoua,Cameroon,DM,0.290418
381,14,Christopher Wooh,Cameroon,CB,0.277306
400,15,Martin Hongla Yma II,Cameroon,CM,0.249596
415,16,Nicolas Moumi Ngamaleu,Cameroon,CM,0.23218
496,17,Samuel Yves Oum Gwet,Cameroon,DM,0.136661
,,André Onana,Cameroon,GK,
