Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
142,1,Keysher Fuller Spence,Costa Rica,Fullback/Wingback,0.1193760243
263,2,Yeltsin Ignacio Tejeda Valverde,Costa Rica,Central/Wide Midfield,0.07142619656
298,3,Kendall Jamaal Waston Manley,Costa Rica,Center Back,0.06063784948
350,4,Joel Nathaniel Campbell Samuels,Costa Rica,Forward,0.04796318486
426,5,Juan Pablo Vargas Campos,Costa Rica,Center Back,0.03251695684
437,6,Anthony Daniel Contreras Enríquez,Costa Rica,Forward,0.03008584668
444,7,Jewison Bennette,Costa Rica,Attacking Midfield/Wing,0.028659964
473,8,Johan Alberto Venegas Ulloa,Costa Rica,Forward,0.02507090698
498,9,Bryan Oviedo,Costa Rica,Fullback/Wingback,0.02186606758
536,10,Youstin Delfin Salas Gómez,Costa Rica,Fullback/Wingback,0.01482392696
544,11,Gerson Torres Barrantes,Costa Rica,Attacking Midfield/Wing,0.0137602422
545,12,Francisco Javier Calvo Quesada,Costa Rica,Center Back,0.01372504867
551,13,Celso Borges Mora,Costa Rica,Defensive Midfield,0.01264269453
565,14,Carlos Manuel Martínez Castro,Costa Rica,Fullback/Wingback,0.01084150406
567,15,Óscar Esau Duarte Gaitán,Costa Rica,Center Back,0.01058520114
575,16,Brandon Aguilera Zamora,Costa Rica,Attacking Midfield/Wing,0.007648738123
576,17,Keylor Navas Gamboa,Costa Rica,Goalkeeper,0.007323402622
