Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
5,1,Ivan Perišić,Croatia,Attacking Midfield/Wing,0.4620042125
20,2,Andrej Kramarić,Croatia,Attacking Midfield/Wing,0.2998186026
29,3,Mateo Kovačić,Croatia,Central/Wide Midfield,0.2709283613
42,4,Bruno Petković,Croatia,Forward,0.2412682727
49,5,Marko Livaja,Croatia,Forward,0.2321117909
56,6,Luka Modrić,Croatia,Central/Wide Midfield,0.210592005
76,7,Josip Juranović,Croatia,Fullback/Wingback,0.1692745117
95,8,Lovro Majer,Croatia,Attacking Midfield/Wing,0.1461687762
98,9,Marcelo Brozović,Croatia,Defensive Midfield,0.1447829626
108,10,Mislav Oršić,Croatia,Attacking Midfield/Wing,0.1381730588
138,11,Nikola Vlašić,Croatia,Attacking Midfield/Wing,0.1139663941
176,12,Dejan Lovren,Croatia,Center Back,0.09808796027
177,13,Borna Sosa,Croatia,Fullback/Wingback,0.09791349128
203,14,Joško Gvardiol,Croatia,Center Back,0.08566092217
233,15,Mario Pašalić,Croatia,Attacking Midfield/Wing,0.07486472381
308,16,Ante Budimir,Croatia,Forward,0.05306878097
429,17,Josip Stanišić,Croatia,Fullback/Wingback,0.02821209932
479,18,Borna Barišić,Croatia,Fullback/Wingback,0.02070234333
545,19,Josip Šutalo,Croatia,Center Back,0.009201488414
