Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
16,1,Daniel Olmo Carvajal,Spain,Attacking Midfield/Wing,0.3655972038
30,2,Álvaro Borja Morata Martín,Spain,Forward,0.2739683312
32,3,Marco Asensio Willemsen,Spain,Forward,0.2617043538
62,4,Ferrán Torres García,Spain,Attacking Midfield/Wing,0.1968534571
82,5,Jordi Alba Ramos,Spain,Fullback/Wingback,0.1701370307
131,6,Alejandro Balde Martínez,Spain,Fullback/Wingback,0.1285942021
146,7,Pedro González López,Spain,Central/Wide Midfield,0.1176950389
180,8,Pablo Martín Páez Gavira,Spain,Central/Wide Midfield,0.1000554445
193,9,Unai Simón Mendibil,Spain,Goalkeeper,0.09451589783
215,10,Carlos Soler Barragán,Spain,Central/Wide Midfield,0.08783754681
231,11,Rodrigo Hernández Cascante,Spain,Center Back,0.07872750817
254,12,Anssumane Fati,Spain,Attacking Midfield/Wing,0.07440559238
278,13,Sergio Busquets i Burgos,Spain,Defensive Midfield,0.06654471342
330,14,César Azpilicueta Tanco,Spain,Fullback/Wingback,0.05380438984
341,15,Nicholas Williams Arthuer,Spain,Attacking Midfield/Wing,0.05119303852
418,16,Jorge Resurrección Merodio,Spain,Defensive Midfield,0.03444925709
422,17,Daniel Carvajal Ramos,Spain,Fullback/Wingback,0.03356569278
453,18,Marcos Llorente Moreno,Spain,Fullback/Wingback,0.02750650378
465,19,Aymeric Laporte,Spain,Center Back,0.0263740773
531,20,Pau Francisco Torres,Spain,Center Back,0.01586386747
