Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
2,1,Kylian Mbappé Lottin,France,FW,0.999581
3,2,Theo Bernard François Hernández,France,FB,0.998067
16,3,Aurélien Djani Tchouaméni,France,DM,0.979793
17,4,Ibrahima Konaté,France,CB,0.979101
18,5,Adrien Rabiot,France,DM,0.971459
20,6,Olivier Giroud,France,FW,0.965674
39,7,Antoine Griezmann,France,AM,0.932218
51,8,Dayotchanculle Upamecano,France,CB,0.920435
59,9,Eduardo Camavinga,France,FB,0.90088
77,10,Ousmane Dembélé,France,AM,0.857609
149,11,Youssouf Fofana,France,DM,0.678995
158,12,Randal Kolo Muani,France,FW,0.665518
241,13,Marcus Thuram,France,CM,0.494561
265,14,Axel Disasi,France,FB,0.438214
311,15,Jules Koundé,France,FB,0.36851
375,16,Hugo Lloris,France,GK,0.283599
409,17,Kingsley Coman,France,AM,0.234269
414,18,Raphaël Varane,France,CB,0.232293
515,19,Benjamin Pavard,France,FB,0.115812
534,20,Jordan Veretout,France,CM,0.104711
560,21,Mattéo Guendouzi Olié,France,AM,0.089914
,,Steve Mandanda,France,GK,
