Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
15,1,Joshua Kimmich,Germany,FB,0.979996
34,2,David Raum,Germany,FB,0.941317
75,3,Serge Gnabry,Germany,AM,0.862356
144,4,Jamal Musiala,Germany,AM,0.696601
171,5,İlkay Gündoğan,Germany,AM,0.643645
196,6,Antonio Rüdiger,Germany,CB,0.584685
198,7,Thilo Kehrer,Germany,FB,0.5782
240,8,Kai Havertz,Germany,FW,0.497508
244,9,Niklas Süle,Germany,FB,0.484198
257,10,Nico Schlotterbeck,Germany,CB,0.455953
278,11,Leroy Sané,Germany,AM,0.421509
292,12,Thomas Müller,Germany,FW,0.401103
305,13,Niclas Füllkrug,Germany,FW,0.382369
338,14,Manuel Neuer,Germany,GK,0.33076
456,15,Leon Goretzka,Germany,DM,0.181199
480,16,Mario Götze,Germany,CM,0.15031
506,17,Lukas Klostermann,Germany,FB,0.127284
