Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
57,1,Mohammed Kudus,Ghana,Attacking Midfield/Wing,0.209316615
124,2,André Ayew Pelé,Ghana,Attacking Midfield/Wing,0.1227869497
251,3,Iñaki Williams Arthuer,Ghana,Forward,0.0690813972
263,4,Mohamed Salisu,Ghana,Center Back,0.06509224255
269,5,Kamaldeen Sulemana,Ghana,Attacking Midfield/Wing,0.06425854584
306,6,Osman Bukari,Ghana,Attacking Midfield/Wing,0.0532694805
318,7,Daniel Amartey,Ghana,Center Back,0.05113216394
341,8,Jordan Ayew,Ghana,Attacking Midfield/Wing,0.04657090678
355,9,Thomas Teye Partey,Ghana,Defensive Midfield,0.04282890319
376,10,Daniel-Kofi Kyereh,Ghana,Defensive Midfield,0.03822318932
379,11,Abdul Rahman Baba,Ghana,Fullback/Wingback,0.03737238662
423,12,Tariq Lamptey,Ghana,Fullback/Wingback,0.02916117388
426,13,Salis Abdul Samed,Ghana,Defensive Midfield,0.02858683059
492,14,Gideon Mensah,Ghana,Fullback/Wingback,0.01846206071
515,15,Alidu Seidu,Ghana,Fullback/Wingback,0.01424012692
550,16,Alexander Djiku,Ghana,Center Back,0.005327736563
