Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
32,1,Mehdi Taremi,Iran,FW,0.944047
132,2,Milad Mohammadi,Iran,FB,0.725602
160,3,Ramin Rezaeian,Iran,FB,0.664718
162,4,Morteza Pouraliganji,Iran,CB,0.659336
249,5,Saeid Ezatolahi Afagh,Iran,DM,0.466719
258,6,Ehsan Hajsafi,Iran,FB,0.45516
274,7,Ali Karimi,Iran,DM,0.429011
322,8,Ahmad Nourollahi,Iran,DM,0.357579
342,9,Sadegh Moharrami,Iran,FB,0.32447
370,10,Seyed Majid Hosseini,Iran,CB,0.288864
390,11,Sardar Azmoun,Iran,FW,0.265292
410,12,Mehdi Torabi,Iran,CM,0.233466
430,13,Ali Gholizadeh,Iran,AM,0.216691
521,14,Alireza Jahanbakhsh,Iran,AM,0.114853
538,15,Seyed Hossein Hosseini,Iran,GK,0.102751
548,16,Karim Ansarifard,Iran,AM,0.096532
550,17,Saman Ghoddos,Iran,AM,0.095024
561,18,Roozbeh Cheshmi,Iran,CB,0.088841
583,19,Mohammad Hossein Kanani Zadegan,Iran,CB,0.06707
,,Alireza Safar Beiranvand,Iran,GK,
