Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
48,1,Heung-Min Son,South Korea,Attacking Midfield/Wing,0.2339917558
73,2,Gue-Sung Cho,South Korea,Forward,0.1787832503
86,3,Hee-Chan Hwang,South Korea,Central/Wide Midfield,0.1680147442
126,4,Jin-Su Kim,South Korea,Fullback/Wingback,0.1295155377
148,5,Moon-Hwan Kim,South Korea,Fullback/Wingback,0.1176160167
220,6,Young-Gwon Kim,South Korea,Center Back,0.08591190999
225,7,In-Beom Hwang,South Korea,Defensive Midfield,0.08145654751
241,8,Min Jae Kim,South Korea,Center Back,0.07753681783
243,9,Ui-Jo Hwang,South Korea,Forward,0.07706633773
286,10,Sang-Ho Na,South Korea,Attacking Midfield/Wing,0.06586617027
312,11,Kang-In Lee,South Korea,Central/Wide Midfield,0.05777634604
339,12,Seung-Gyu Kim,South Korea,Goalkeeper,0.05238358119
342,13,Chang-Hoon Kwon,South Korea,Attacking Midfield/Wing,0.05027675698
366,14,Jae-Sung Lee,South Korea,Attacking Midfield/Wing,0.04547578866
371,15,Woo-Yeong Jeong,South Korea,Attacking Midfield/Wing,0.04447506829
505,16,Chul Hong,South Korea,Fullback/Wingback,0.02045621691
522,17,Woo-Young Jung,South Korea,Defensive Midfield,0.01764291297
538,18,Jun-Ho Son,South Korea,Defensive Midfield,0.01435499851
546,19,Kyung-Won Kwon,South Korea,Center Back,0.01367138061
