Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
54,1,Salem Mohammed Al Dawsari,Saudi Arabia,AM,0.914405
103,2,Mohammed Khalil Al Owais,Saudi Arabia,GK,0.781276
152,3,Abdulelah Al Amri,Saudi Arabia,CB,0.670913
178,4,Saud Abdullah Abdul Hamid,Saudi Arabia,FB,0.632452
222,5,Hassan Mohammed Al-Tambakti,Saudi Arabia,CB,0.522388
268,6,Saleh Khalid Al Shehri,Saudi Arabia,FW,0.43655
298,7,Abdulelah Saad Hameed Al-Malki,Saudi Arabia,DM,0.391204
330,8,Riyadh Sharahili,Saudi Arabia,DM,0.343155
358,9,Mohammed Kanoo,Saudi Arabia,CM,0.304327
418,10,Yasir Gharsan Al Shahrani,Saudi Arabia,FB,0.230766
458,11,Mohammed Al Burayk,Saudi Arabia,FB,0.178529
463,12,Sultan Abdullah Salim Al Ghannam,Saudi Arabia,FB,0.168262
481,13,Ali Al Hassan,Saudi Arabia,DM,0.149155
488,14,Nawaf Shaker Al Abid,Saudi Arabia,AM,0.144369
508,15,Abdullah Mohammed Madu,Saudi Arabia,CB,0.125009
520,16,Firas Tariq Nasser Al Albirakan,Saudi Arabia,AM,0.11488
531,17,Ali Albulayhi,Saudi Arabia,CB,0.105982
566,18,Salman Mohammed Al Faraj,Saudi Arabia,CM,0.084225
571,19,Sami Khalil Al Naji,Saudi Arabia,AM,0.080804
575,20,Abdulrahman Al-Obood,Saudi Arabia,AM,0.077491
