Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
14,1,Achraf Hakimi Mouh,Morocco,FB,0.981644
22,2,Hakim Ziyech,Morocco,AM,0.959846
44,3,Yassine Bounou,Morocco,GK,0.928068
92,4,Azzedine Ounahi,Morocco,CM,0.796896
104,5,Sofiane Boufal,Morocco,AM,0.773731
122,6,Romain Saïss,Morocco,CB,0.741327
138,7,Jawad El Yamiq,Morocco,CB,0.70404
159,8,Yahia Attiyat allah,Morocco,FB,0.665252
184,9,Achraf Dari,Morocco,CB,0.617777
201,10,Noussair Mazraoui,Morocco,FB,0.573043
202,11,Youssef En-Nesyri,Morocco,FW,0.572659
221,12,Sofyan Amrabat,Morocco,DM,0.523309
326,13,Abdelhamid Sabiri,Morocco,CM,0.35461
388,14,Zakaria Aboukhlal,Morocco,FW,0.267483
412,15,Badr Banoun,Morocco,CB,0.232711
420,16,Selim Amallah,Morocco,CM,0.228712
436,17,Abdessamad Ezzalzouli,Morocco,AM,0.200299
484,18,Abderrazak Hamdallah,Morocco,FW,0.147125
487,19,Nayef Aguerd,Morocco,CB,0.146241
502,20,Walid Cheddira,Morocco,FW,0.131432
545,21,Ilias Chair,Morocco,CM,0.097413
549,22,Bilal El Khannous,Morocco,CM,0.09622
,,Munir Mohand Mohamedi,Morocco,GK,
