Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
60,1,Henry Josué Martín Mex,Mexico,Forward,0.207770528
64,2,Hirving Rodrigo Lozano Bahena,Mexico,Attacking Midfield/Wing,0.1891666904
128,3,Ernesto Alexis Vega Rojas,Mexico,Attacking Midfield/Wing,0.1289247794
204,4,Luis Gerardo Chávez Magallón,Mexico,Defensive Midfield,0.09156736094
214,5,Héctor Alfredo Moreno Herrera,Mexico,Center Back,0.08846213555
224,6,Orbelín Pineda Alvarado,Mexico,Attacking Midfield/Wing,0.082772545
227,7,Jesús Daniel Gallardo Vasconcelos,Mexico,Fullback/Wingback,0.08138007481
255,8,Carlos Uriel Antuna Romero,Mexico,Attacking Midfield/Wing,0.07364113801
300,9,Raúl Alonso Jiménez Rodríguez,Mexico,Forward,0.0602466153
304,10,Jorge Eduardo Sánchez Ramos,Mexico,Fullback/Wingback,0.05931043896
359,11,César Jasib Montes Castro,Mexico,Center Back,0.04626924661
401,12,Héctor Miguel Herrera López,Mexico,Defensive Midfield,0.03716576089
499,13,Carlos Alberto Rodríguez Gómez,Mexico,Central/Wide Midfield,0.02182799714
520,14,Kevin Nahin Álvarez Campos,Mexico,Fullback/Wingback,0.01764935132
528,15,Edson Omar Álvarez Velázquez,Mexico,Defensive Midfield,0.01651566309
547,16,Érick Gabriel Gutiérrez Galaviz,Mexico,Defensive Midfield,0.01361757836
550,17,Néstor Alejandro Araújo Razo,Mexico,Center Back,0.01281435647
558,18,Francisco Guillermo Ochoa Magaña,Mexico,Goalkeeper,0.01212764056
