Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
32,1,Memphis Depay,Netherlands,Forward,0.2622889589
44,2,Cody Mathès Gakpo,Netherlands,Attacking Midfield/Wing,0.2395207755
91,3,Frenkie de Jong,Netherlands,Defensive Midfield,0.1563503201
92,4,Daley Blind,Netherlands,Fullback/Wingback,0.1525483584
93,5,Denzel Dumfries,Netherlands,Fullback/Wingback,0.1512010606
106,6,Steven Bergwijn,Netherlands,Forward,0.1398384803
142,7,Davy Klaassen,Netherlands,Attacking Midfield/Wing,0.1116952519
222,8,Vincent Janssen,Netherlands,Forward,0.08038712446
236,9,Steven Berghuis,Netherlands,Defensive Midfield,0.07386534355
257,10,Wout Weghorst,Netherlands,Forward,0.06685654828
271,11,Virgil van Dijk,Netherlands,Center Back,0.06365847124
393,12,Teun Koopmeiners,Netherlands,Defensive Midfield,0.0342457445
420,13,Luuk de Jong,Netherlands,Forward,0.0298072613
451,14,Matthijs de Ligt,Netherlands,Center Back,0.0253559152
468,15,Marten de Roon,Netherlands,Defensive Midfield,0.02162535563
478,16,Jurriën David Norman Timber,Netherlands,Center Back,0.0208068276
485,17,Nathan Aké,Netherlands,Center Back,0.02007972664
