Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
147,1,Ismaeel Mohammad Mohammad,Qatar,Fullback/Wingback,60
168,2,Almoez Ali Zainalabiddin Abdulla,Qatar,Forward,59.6
238,3,Pedro Miguel Correia,Qatar,Center Back,58.5
251,4,Akram Hassan Afif,Qatar,Forward,58.2
289,5,Hassan Khalid Al Heidos,Qatar,Central/Wide Midfield,57.8
310,6,Boualem Khoukhi,Qatar,Center Back,57.5
316,7,Abdelkarim Hassan Al Haj Fadlalla,Qatar,Center Back,57.4
319,8,Homam Alamin Ahmed,Qatar,Fullback/Wingback,57.4
364,9,Mohammed Muntari,Qatar,Forward,57
404,10,Karim Boudiaf,Qatar,Defensive Midfield,56.6
499,11,Abdulaziz Hatem Mohammed Abdullah,Qatar,Central/Wide Midfield,55.9
539,12,Meshaal Aissa Barsham,Qatar,Goalkeeper,55.7
552,13,Bassam Hisham Al Rawi,Qatar,Center Back,55.6
573,14,Assim Omer Al Haj Madibo,Qatar,Defensive Midfield,55.4
