Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
18,1,Ismaïla Sarr,Senegal,Attacking Midfield/Wing,70.4
86,2,Boulaye Dia,Senegal,Attacking Midfield/Wing,62.2
162,3,Youssouf Sabaly,Senegal,Fullback/Wingback,59.7
183,4,Idrissa Gana Gueye,Senegal,Attacking Midfield/Wing,59.4
196,5,Famara Diedhiou,Senegal,Forward,59.2
240,6,Iliman Ndiaye,Senegal,Attacking Midfield/Wing,58.4
245,7,Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,Forward,58.3
271,8,Krépin Diatta,Senegal,Attacking Midfield/Wing,57.9
273,9,Pape Gueye,Senegal,Defensive Midfield,57.9
377,10,Kalidou Koulibaly,Senegal,Center Back,56.9
415,11,Nampalys Mendy,Senegal,Defensive Midfield,56.5
418,12,Ismail Jakobs,Senegal,Fullback/Wingback,56.5
420,13,Pape Abou Cissé,Senegal,Center Back,56.5
435,14,Cheikhou Kouyaté,Senegal,Defensive Midfield,56.4
464,15,Pape Matar Sarr,Senegal,Attacking Midfield/Wing,56.2
479,16,Abdou Diallo,Senegal,Center Back,56.1
503,17,Edouard Mendy,Senegal,Goalkeeper,55.9
556,18,Pathé Ismaël Ciss,Senegal,Defensive Midfield,55.5
