Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
72,1,Nikola Milenković,Serbia,CB,0.867132
89,2,Aleksandar Mitrović,Serbia,FW,0.816296
97,3,Strahinja Pavlović,Serbia,CB,0.787296
139,4,Vanja Milinković Savić,Serbia,GK,0.703933
143,5,Dušan Tadić,Serbia,AM,0.697449
166,6,Andrija Živković,Serbia,FB,0.649322
204,7,Filip Kostić,Serbia,FB,0.570587
263,8,Nemanja Maksimović,Serbia,DM,0.442001
286,9,Milos Veljkovic,Serbia,CB,0.405743
297,10,Saša Lukić,Serbia,DM,0.391853
379,11,Sergej Milinković-Savić,Serbia,AM,0.281625
437,12,Dušan Vlahović,Serbia,FW,0.199351
478,13,Nemanja Radonjić,Serbia,FB,0.151642
493,14,Nemanja Gudelj,Serbia,DM,0.140652
511,15,Filip Mladenović,Serbia,FB,0.119958
569,16,Luka Jović,Serbia,FW,0.081615
