Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
16,1,Breel-Donald Embolo,Switzerland,Forward,0.3520123135
73,2,Xherdan Shaqiri,Switzerland,Central/Wide Midfield,0.1719839729
97,3,Ruben Vargas,Switzerland,Attacking Midfield/Wing,0.1455221009
128,4,Silvan Widmer,Switzerland,Fullback/Wingback,0.1201054743
166,5,Manuel Obafemi Akanji,Switzerland,Center Back,0.1031979623
195,6,Remo Freuler,Switzerland,Defensive Midfield,0.08902958407
220,7,Ricardo Iván Rodríguez Araya,Switzerland,Fullback/Wingback,0.08106716521
265,8,Djibril Sow,Switzerland,Attacking Midfield/Wing,0.0648707996
282,9,Granit Xhaka,Switzerland,Defensive Midfield,0.06073704472
317,10,Edimilson Fernandes,Switzerland,Fullback/Wingback,0.05116555814
323,11,Haris Seferović,Switzerland,Forward,0.05063014826
366,12,Noah Okafor,Switzerland,Central/Wide Midfield,0.04112551651
375,13,Fabian Rieder,Switzerland,Attacking Midfield/Wing,0.03879710874
409,14,Fabian Lukas Schär,Switzerland,Center Back,0.0322148504
460,15,Nico Elvedi,Switzerland,Center Back,0.02367105349
473,16,Denis Lemi Zakaria Lako Lado,Switzerland,Defensive Midfield,0.02100064109
520,17,Eray Ervin Cömert,Switzerland,Center Back,0.0128404113
