Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
67,1,Issam Jebali,Tunisia,Forward,0.1873694537
79,2,Youssef Msakni,Tunisia,Attacking Midfield/Wing,0.1746494317
149,3,Wahbi Khazri,Tunisia,Forward,0.1172016535
156,4,Aymen Dahmen,Tunisia,Goalkeeper,0.113032692
242,5,Naïm Sliti,Tunisia,Attacking Midfield/Wing,0.07729619774
275,6,Aïssa Bilal Laïdouni,Tunisia,Defensive Midfield,0.06707648815
282,7,Mohamed Dräger,Tunisia,Fullback/Wingback,0.06622791423
346,8,Wajdi Kechrida,Tunisia,Fullback/Wingback,0.04936288559
352,9,Ali Abdi,Tunisia,Fullback/Wingback,0.04752560987
369,10,Anis Ben Slimane,Tunisia,Attacking Midfield/Wing,0.0450670186
433,11,Nader Ghandri,Tunisia,Center Back,0.03091875299
438,12,Ellyes Joris Skhiri,Tunisia,Defensive Midfield,0.03004005742
447,13,Dylan Daniel Mahmoud Bronn,Tunisia,Center Back,0.02815897941
450,14,Mohamed Ali Ben Romdhane,Tunisia,Attacking Midfield/Wing,0.02782348788
509,15,Ali Maâloul,Tunisia,Fullback/Wingback,0.01977095089
532,16,Montassar Omar Talbi,Tunisia,Center Back,0.01583969492
543,17,Ferjani Sassi,Tunisia,Defensive Midfield,0.01379159688
582,18,Yassine Meriah,Tunisia,Center Back,0.004802382844
