Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
84,1,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,Central/Wide Midfield,0.1692616631
104,2,Luis Alberto Suárez Díaz,Uruguay,Forward,0.1508138471
124,3,Darwin Gabriel Núñez Ribeiro,Uruguay,Attacking Midfield/Wing,0.1322522289
201,4,Rodrigo Bentancur Colmán,Uruguay,Defensive Midfield,0.09182178368
209,5,Facundo Pellistri Rebollo,Uruguay,Attacking Midfield/Wing,0.08895175065
210,6,Edinson Roberto Cavani Gómez,Uruguay,Forward,0.08885681343
247,7,Sergio Rochet Álvarez,Uruguay,Goalkeeper,0.07613715873
252,8,Mathías Olivera Miramontes,Uruguay,Fullback/Wingback,0.07494084108
260,9,Federico Santiago Valverde Dipetta,Uruguay,Defensive Midfield,0.07193623214
368,10,Matías Vecino Falero,Uruguay,Central/Wide Midfield,0.04522134475
384,11,Maximiliano Gómez González,Uruguay,Forward,0.0400733356
415,12,Guillermo Varela Olivera,Uruguay,Fullback/Wingback,0.03531421496
446,13,José María Giménez de Vargas,Uruguay,Center Back,0.0282390754
449,14,Diego Nicolás De La Cruz Arcosa,Uruguay,Defensive Midfield,0.02783523701
469,15,Sebastián Coates Nión,Uruguay,Center Back,0.02590588269
487,16,Diego Roberto Godín Leal,Uruguay,Center Back,0.02322349429
508,17,José Martín Cáceres Silva,Uruguay,Fullback/Wingback,0.01992221753
