Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
18,1,Christian Pulisic,United States,Attacking Midfield/Wing,0.3471917377
37,2,Timothy Weah,United States,Attacking Midfield/Wing,0.2478021368
89,3,Joshua Sargent,United States,Forward,0.1568999929
100,4,Antonee Robinson,United States,Fullback/Wingback,0.1439613159
110,5,Haji Wright,United States,Forward,0.1356423934
112,6,Brenden Aaronson,United States,Attacking Midfield/Wing,0.1345429026
114,7,Weston McKennie,United States,Central/Wide Midfield,0.1337752599
170,8,Sergino Dest,United States,Fullback/Wingback,0.1016579032
175,9,Yunus Dimoara Musah,United States,Central/Wide Midfield,0.09822785545
262,10,Tim Ream,United States,Center Back,0.06513527288
322,11,Giovanni Reyna,United States,Attacking Midfield/Wing,0.050885101
362,12,Walker Zimmerman,United States,Center Back,0.04171647268
388,13,Tyler Adams,United States,Defensive Midfield,0.03506284164
422,14,Jesus Ferreira,United States,Forward,0.02954685486
463,15,DeAndre Yedlin,United States,Fullback/Wingback,0.02241621177
494,16,Kellyn Kai Perry-Acosta,United States,Defensive Midfield,0.01825842263
546,17,Cameron Carter-Vickers,United States,Center Back,0.009034804751
