Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
1,1,Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,99
2,1,Kylian Mbappé Lottin,France,Forward,91.4
3,2,Olivier Giroud,France,Forward,75.7
4,1,Robert Lewandowski,Poland,Forward,75.4
5,1,Ivan Perišić,Croatia,Attacking Midfield/Wing,75.3
6,1,Jamal Musiala,Germany,Attacking Midfield/Wing,74.9
7,2,Lautaro Javier Martínez,Argentina,Forward,74.2
8,3,Julián Álvarez,Argentina,Forward,74.2
9,3,Antoine Griezmann,France,Attacking Midfield/Wing,72.9
10,2,Wojciech Szczęsny,Poland,Goalkeeper,72.3
11,1,Cristiano Ronaldo dos Santos Aveiro,Portugal,Forward,72
12,1,Harry Kane,England,Forward,71.6
13,1,Neymar da Silva Santos Junior,Brazil,Attacking Midfield/Wing,71.6
14,4,Ángel Fabián Di María Hernández,Argentina,Central/Wide Midfield,70.8
15,2,Richarlison de Andrade,Brazil,Forward,70.7
16,1,Daniel Olmo Carvajal,Spain,Attacking Midfield/Wing,70.6
17,1,Breel-Donald Embolo,Switzerland,Forward,70.5
18,1,Ismaïla Sarr,Senegal,Attacking Midfield/Wing,70.4
19,1,Christian Pulisic,United States,Attacking Midfield/Wing,70.3
20,3,Raphael Dias Belloli,Brazil,Attacking Midfield/Wing,69
21,2,Andrej Kramarić,Croatia,Attacking Midfield/Wing,68.2
22,2,Gonçalo Matias Ramos,Portugal,Forward,68.1
23,2,Marco Asensio Willemsen,Spain,Forward,67.7
24,2,Niclas Füllkrug,Germany,Forward,67.5
25,1,Salem Mohammed Al Dawsari,Saudi Arabia,Central/Wide Midfield,67.4
26,3,Kai Havertz,Germany,Forward,67.4
27,3,Álvaro Borja Morata Martín,Spain,Forward,67.4
28,2,Mohammed Khalil Al Owais,Saudi Arabia,Goalkeeper,67.3
29,5,Alexis Mac Allister,Argentina,Central/Wide Midfield,67.3
30,4,Serge Gnabry,Germany,Attacking Midfield/Wing,67.1
31,3,Mateo Kovačić,Croatia,Central/Wide Midfield,66.9
32,1,Enner Remberto Valencia Lastra,Ecuador,Attacking Midfield/Wing,66.8
33,1,Aleksandar Mitrović,Serbia,Forward,66.7
34,1,Memphis Depay,Netherlands,Forward,66.5
35,4,Vinícius José Paixão de Oliveira Júnior,Brazil,Central/Wide Midfield,66.4
36,2,Phil Foden,England,Attacking Midfield/Wing,66.4
37,1,Jonathan David,Canada,Forward,66.3
38,4,Adrien Rabiot,France,Defensive Midfield,66.1
39,2,Timothy Weah,United States,Attacking Midfield/Wing,65.9
40,5,Ousmane Dembélé,France,Attacking Midfield/Wing,65.8
41,1,Heung-Min Son,South Korea,Attacking Midfield/Wing,65.7
42,6,Marcos Javier Acuña,Argentina,Fullback/Wingback,65.7
43,7,Rodrigo Javier De Paul,Argentina,Defensive Midfield,65.7
44,4,Bruno Petković,Croatia,Forward,65.6
45,3,João Félix Sequeira,Portugal,Attacking Midfield/Wing,65.6
46,2,Cody Mathès Gakpo,Netherlands,Attacking Midfield/Wing,65.5
47,3,Matthew Charles Turner,United States,Goalkeeper,65.5
48,6,Randal Kolo Muani,France,Forward,65.4
49,5,Rodrygo Silva de Goes,Brazil,Central/Wide Midfield,65.4
50,1,Mehdi Taremi,Iran,Forward,65.3
51,1,Youssef En-Nesyri,Morocco,Forward,65.3
52,5,Marko Livaja,Croatia,Forward,65.2
53,3,Bukayo Saka,England,Attacking Midfield/Wing,65.2
54,4,Bruno Miguel Borges Fernandes,Portugal,Attacking Midfield/Wing,65
55,4,Jude Bellingham,England,Defensive Midfield,64.9
56,1,Andreas Evald Cornelius,Denmark,Forward,64.8
57,1,Romelu Lukaku Menama,Belgium,Forward,64.7
58,5,Marcus Rashford,England,Attacking Midfield/Wing,64.5
59,6,Luka Modrić,Croatia,Central/Wide Midfield,64.3
60,1,Mohammed Kudus,Ghana,Attacking Midfield/Wing,64.2
61,2,Alphonso Davies,Canada,Central/Wide Midfield,64.1
62,4,Ferrán Torres García,Spain,Attacking Midfield/Wing,64
63,1,Issam Jebali,Tunisia,Forward,63.9
64,1,Henry Josué Martín Mex,Mexico,Forward,63.7
65,2,Yassine Bounou,Morocco,Goalkeeper,63.7
66,2,Gue-Sung Cho,South Korea,Forward,63.6
67,3,Tajon Buchanan,Canada,Central/Wide Midfield,63.6
68,1,Luis Alberto Suárez Díaz,Uruguay,Forward,63.4
69,5,Thomas Müller,Germany,Forward,63.4
70,3,Hakim Ziyech,Morocco,Attacking Midfield/Wing,63.3
71,1,Kieffer Roberto Francisco Moore,Wales,Forward,63.2
72,2,Youssef Msakni,Tunisia,Attacking Midfield/Wing,63.2
73,3,Firas Tariq Nasser Al Albirakan,Saudi Arabia,Central/Wide Midfield,63
74,6,Luke Shaw,England,Fullback/Wingback,62.9
75,4,Sofiane Boufal,Morocco,Central/Wide Midfield,62.7
76,2,Dušan Tadić,Serbia,Attacking Midfield/Wing,62.6
77,2,Xherdan Shaqiri,Switzerland,Central/Wide Midfield,62.6
78,6,Lucas Tolentino Coelho de Lima,Brazil,Defensive Midfield,62.5
79,8,Nicolás Alejandro Tagliafico,Argentina,Fullback/Wingback,62.5
80,7,Josip Juranović,Croatia,Fullback/Wingback,62.4
81,6,Leroy Sané,Germany,Attacking Midfield/Wing,62.4
82,9,Nahuel Molina Lucero,Argentina,Fullback/Wingback,62.4
83,8,Dominik Livaković,Croatia,Goalkeeper,62.4
84,5,Achraf Hakimi Mouh,Morocco,Fullback/Wingback,62.4
85,7,Theo Bernard François Hernández,France,Fullback/Wingback,62.3
86,2,Boulaye Dia,Senegal,Attacking Midfield/Wing,62.2
87,7,Gabriel Teodoro Martinelli Silva,Brazil,Attacking Midfield/Wing,62.2
88,3,Hee-Chan Hwang,South Korea,Central/Wide Midfield,62.2
89,2,Christian Dannemann Eriksen,Denmark,Central/Wide Midfield,62.2
90,4,Alistair Johnston,Canada,Fullback/Wingback,62
91,5,Jordi Alba Ramos,Spain,Fullback/Wingback,62
92,2,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,Central/Wide Midfield,62
93,2,Hirving Rodrigo Lozano Bahena,Mexico,Attacking Midfield/Wing,62
94,4,Joshua Sargent,United States,Forward,61.9
95,2,Michy Batshuayi Tunga,Belgium,Forward,61.9
96,3,Frenkie de Jong,Netherlands,Defensive Midfield,61.9
97,4,Daley Blind,Netherlands,Fullback/Wingback,61.7
98,5,Denzel Dumfries,Netherlands,Fullback/Wingback,61.7
99,1,Takuma Asano,Japan,Forward,61.6
100,9,Lovro Majer,Croatia,Attacking Midfield/Wing,61.4
101,6,Andries Noppert,Netherlands,Goalkeeper,61.4
102,4,Jin-Su Kim,South Korea,Fullback/Wingback,61.4
103,3,Ruben Vargas,Switzerland,Attacking Midfield/Wing,61.4
104,10,Marcelo Brozović,Croatia,Defensive Midfield,61.4
105,5,Raphaël Adelino José Guerreiro,Portugal,Fullback/Wingback,61.4
106,5,Antonee Robinson,United States,Fullback/Wingback,61.3
107,2,Sardar Azmoun,Iran,Forward,61.3
108,2,Gareth Frank Bale,Wales,Forward,61.2
109,7,Harry Maguire,England,Center Back,61.2
110,3,Andreas Skov Olsen,Denmark,Attacking Midfield/Wing,61.2
111,3,Kevin De Bruyne,Belgium,Attacking Midfield/Wing,61.2
112,7,Steven Bergwijn,Netherlands,Forward,61.2
113,4,Kasper Dolberg,Denmark,Forward,61.1
114,11,Mislav Oršić,Croatia,Attacking Midfield/Wing,61.1
115,8,Jack Grealish,England,Attacking Midfield/Wing,61
116,6,Haji Wright,United States,Forward,61
117,1,Vincent Paté Aboubakar,Cameroon,Forward,60.9
118,7,Brenden Aaronson,United States,Attacking Midfield/Wing,60.9
119,3,Filip Kostić,Serbia,Fullback/Wingback,60.9
120,2,Devis Rogers Epassy Mboka,Cameroon,Goalkeeper,60.9
121,8,Weston McKennie,United States,Central/Wide Midfield,60.9
122,7,David Raum,Germany,Fullback/Wingback,60.9
123,6,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Central/Wide Midfield,60.8
124,8,İlkay Gündoğan,Germany,Attacking Midfield/Wing,60.6
125,1,Craig Goodwin,Australia,Central/Wide Midfield,60.6
126,3,Ernesto Alexis Vega Rojas,Mexico,Attacking Midfield/Wing,60.6
127,5,Jesper Lindstrøm,Denmark,Attacking Midfield/Wing,60.5
128,6,Azzedine Ounahi,Morocco,Central/Wide Midfield,60.4
129,6,Pedro González López,Spain,Central/Wide Midfield,60.4
130,8,Antony Matheus dos Santos,Brazil,Attacking Midfield/Wing,60.4
131,2,André Ayew Pelé,Ghana,Attacking Midfield/Wing,60.4
132,3,Aaron Ramsey,Wales,Central/Wide Midfield,60.4
133,3,Darwin Gabriel Núñez Ribeiro,Uruguay,Attacking Midfield/Wing,60.3
134,3,Wahbi Khazri,Tunisia,Forward,60.3
135,4,Silvan Widmer,Switzerland,Fullback/Wingback,60.3
136,5,Moon-Hwan Kim,South Korea,Fullback/Wingback,60.3
137,4,Sergej Milinković-Savić,Serbia,Attacking Midfield/Wing,60.2
138,7,Diogo Meireles Costa,Portugal,Goalkeeper,60.2
139,6,Joakim Mæhle,Denmark,Fullback/Wingback,60.2
140,9,Carlos Henrique Casimiro,Brazil,Defensive Midfield,60.2
141,8,Rafael Alexandre Conceição Leão,Portugal,Attacking Midfield/Wing,60.1
142,1,Keysher Fuller Spence,Costa Rica,Fullback/Wingback,60.1
143,9,Ricardo Jorge Luz Horta,Portugal,Attacking Midfield/Wing,60.1
144,9,Antonio Rüdiger,Germany,Center Back,60.1
145,10,Joshua Kimmich,Germany,Fullback/Wingback,60
146,12,Nikola Vlašić,Croatia,Attacking Midfield/Wing,60
147,1,Ismaeel Mohammad Mohammad,Qatar,Fullback/Wingback,60
148,10,Enzo Fernandez,Argentina,Defensive Midfield,60
149,2,Mitchell Thomas Duke,Australia,Forward,59.9
150,8,Davy Klaassen,Netherlands,Attacking Midfield/Wing,59.9
151,7,Alejandro Balde Martínez,Spain,Fullback/Wingback,59.9
152,2,Gonzalo Jordy Plata Jiménez,Ecuador,Central/Wide Midfield,59.9
153,2,Daichi Kamada,Japan,Attacking Midfield/Wing,59.9
154,4,Saleh Khalid Al Shehri,Saudi Arabia,Forward,59.9
