Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
1,1,Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,99
2,1,Kylian Mbappé Lottin,France,Forward,88.8
3,1,Ivan Perišić,Croatia,Attacking Midfield/Wing,80.3
4,2,Mateo Kovačić,Croatia,Central/Wide Midfield,76.6
5,2,Antoine Griezmann,France,Attacking Midfield/Wing,74.8
6,2,Julián Álvarez,Argentina,Forward,74.3
7,3,Luka Modrić,Croatia,Central/Wide Midfield,73.9
8,3,Olivier Giroud,France,Forward,73.5
9,1,Jamal Musiala,Germany,Attacking Midfield/Wing,73.2
10,3,Alexis Mac Allister,Argentina,Central/Wide Midfield,72.8
11,4,Rodrigo Javier De Paul,Argentina,Defensive Midfield,72.4
12,1,Wojciech Szczęsny,Poland,Goalkeeper,72.3
13,4,Joško Gvardiol,Croatia,Center Back,72.3
14,5,Andrej Kramarić,Croatia,Attacking Midfield/Wing,71.5
15,1,Harry Kane,England,Forward,71.3
16,6,Marcelo Brozović,Croatia,Defensive Midfield,71.3
17,2,Robert Lewandowski,Poland,Forward,70.7
18,1,Neymar da Silva Santos Junior,Brazil,Attacking Midfield/Wing,70.6
19,7,Dejan Lovren,Croatia,Center Back,70.6
20,2,Richarlison de Andrade,Brazil,Forward,70.1
21,5,Lautaro Javier Martínez,Argentina,Forward,70.1
22,1,Achraf Hakimi Mouh,Morocco,Fullback/Wingback,69.9
23,1,Daniel Olmo Carvajal,Spain,Attacking Midfield/Wing,69.6
24,1,Christian Pulisic,United States,Attacking Midfield/Wing,69.4
25,2,Youssef En-Nesyri,Morocco,Forward,69.4
26,1,Cristiano Ronaldo dos Santos Aveiro,Portugal,Forward,69.3
27,3,Hakim Ziyech,Morocco,Attacking Midfield/Wing,69.3
28,4,Adrien Rabiot,France,Defensive Midfield,69.3
29,8,Josip Juranović,Croatia,Fullback/Wingback,69.1
30,4,Sofyan Amrabat,Morocco,Defensive Midfield,69
31,6,Ángel Fabián Di María Hernández,Argentina,Central/Wide Midfield,68.9
32,1,Breel-Donald Embolo,Switzerland,Forward,68.8
33,5,Azzedine Ounahi,Morocco,Central/Wide Midfield,68.5
34,2,Jude Bellingham,England,Defensive Midfield,68.4
35,3,Raphael Dias Belloli,Brazil,Attacking Midfield/Wing,68.3
36,1,Ismaïla Sarr,Senegal,Attacking Midfield/Wing,68.1
37,1,Cody Mathès Gakpo,Netherlands,Attacking Midfield/Wing,67.7
38,1,Mohammed Khalil Al Owais,Saudi Arabia,Goalkeeper,67.3
39,2,Marco Asensio Willemsen,Spain,Forward,67.3
40,6,Sofiane Boufal,Morocco,Central/Wide Midfield,67.2
41,2,Bruno Miguel Borges Fernandes,Portugal,Attacking Midfield/Wing,67.1
42,2,Frenkie de Jong,Netherlands,Defensive Midfield,67.1
43,7,Enzo Fernandez,Argentina,Defensive Midfield,67
44,4,Carlos Henrique Casimiro,Brazil,Defensive Midfield,66.8
45,2,Serge Gnabry,Germany,Attacking Midfield/Wing,66.7
46,8,Cristian Gabriel Romero,Argentina,Center Back,66.7
47,2,Salem Mohammed Al Dawsari,Saudi Arabia,Central/Wide Midfield,66.7
48,3,João Félix Sequeira,Portugal,Attacking Midfield/Wing,66.5
49,5,Aurélien Djani Tchouaméni,France,Defensive Midfield,66.5
50,5,Vinícius José Paixão de Oliveira Júnior,Brazil,Central/Wide Midfield,66.4
51,3,Memphis Depay,Netherlands,Forward,66.4
52,3,Phil Foden,England,Attacking Midfield/Wing,66.2
53,6,Lucas Tolentino Coelho de Lima,Brazil,Defensive Midfield,66
54,9,Nahuel Molina Lucero,Argentina,Fullback/Wingback,66
55,4,Harry Maguire,England,Center Back,65.7
56,6,Ousmane Dembélé,France,Attacking Midfield/Wing,65.6
57,1,Aleksandar Mitrović,Serbia,Forward,65.5
