Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
1,1,Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,99
6,2,Julián Álvarez,Argentina,Forward,74.3
10,3,Alexis Mac Allister,Argentina,Central/Wide Midfield,72.8
11,4,Rodrigo Javier De Paul,Argentina,Defensive Midfield,72.4
21,5,Lautaro Javier Martínez,Argentina,Forward,70.1
31,6,Ángel Fabián Di María Hernández,Argentina,Central/Wide Midfield,68.9
43,7,Enzo Fernandez,Argentina,Defensive Midfield,67
46,8,Cristian Gabriel Romero,Argentina,Center Back,66.7
54,9,Nahuel Molina Lucero,Argentina,Fullback/Wingback,66
69,10,Marcos Javier Acuña,Argentina,Fullback/Wingback,64.7
77,11,Nicolás Hernán Otamendi,Argentina,Center Back,64.2
96,12,Nicolás Alejandro Tagliafico,Argentina,Fullback/Wingback,63
239,13,Leandro Daniel Paredes,Argentina,Defensive Midfield,59.7
291,14,Lisandro Martínez,Argentina,Center Back,58.9
391,15,Alejandro Darío Gómez,Argentina,Central/Wide Midfield,57.6
487,16,Guido Rodríguez,Argentina,Defensive Midfield,56.9
538,17,Damián Emiliano Martínez,Argentina,Goalkeeper,56.5
555,18,Germán Alejandro Pezzella,Argentina,Center Back,56.3
564,19,Exequiel Alejandro Palacios,Argentina,Central/Wide Midfield,56.2
568,20,Gonzalo Ariel Montiel,Argentina,Fullback/Wingback,56.1
