Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
81,1,Harry Souttar,Australia,Center Back,64.1
91,2,Jackson Irvine,Australia,Forward,63.4
129,3,Aaron Mooy,Australia,Defensive Midfield,62
150,4,Mathew Leckie,Australia,Central/Wide Midfield,61.4
180,5,Kye Rowles,Australia,Center Back,60.7
186,6,Aziz Eraltay Behich,Australia,Fullback/Wingback,60.5
210,7,Mitchell Thomas Duke,Australia,Forward,60.2
226,8,Craig Goodwin,Australia,Central/Wide Midfield,59.9
259,9,Riley McGree,Australia,Forward,59.4
290,10,Miloš Degenek,Australia,Fullback/Wingback,58.9
318,11,Fran Karačić,Australia,Fullback/Wingback,58.4
350,12,Keanu Baccus,Australia,Defensive Midfield,58
371,13,Mathew Ryan,Australia,Goalkeeper,57.8
482,14,Garang Kuol,Australia,Forward,56.9
495,15,Nathaniel Atkinson,Australia,Fullback/Wingback,56.8
529,16,Jamie MacLaren,Australia,Forward,56.6
535,17,Ajdin Hrustic,Australia,Central/Wide Midfield,56.6
