Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
119,1,Kevin De Bruyne,Belgium,Attacking Midfield/Wing,62.3
204,2,Axel Witsel,Belgium,Defensive Midfield,60.3
214,3,Romelu Lukaku Menama,Belgium,Forward,60.1
228,4,Michy Batshuayi Tunga,Belgium,Forward,59.9
292,5,Jan Vertonghen,Belgium,Center Back,58.9
293,6,Toby Alderweireld,Belgium,Center Back,58.9
298,7,Dries Mertens,Belgium,Attacking Midfield/Wing,58.7
324,8,Thorgan Hazard,Belgium,Attacking Midfield/Wing,58.3
335,9,Yannick Ferreira Carrasco,Belgium,Attacking Midfield/Wing,58.2
351,10,Thibaut Courtois,Belgium,Goalkeeper,58
359,11,Thomas Meunier,Belgium,Fullback/Wingback,57.9
366,12,Timothy Castagne,Belgium,Fullback/Wingback,57.9
372,13,Leandro Trossard,Belgium,Forward,57.8
388,14,Leander Dendoncker,Belgium,Center Back,57.6
392,15,Eden Hazard,Belgium,Attacking Midfield/Wing,57.6
399,16,Amadou Onana,Belgium,Defensive Midfield,57.6
544,17,Youri Tielemans,Belgium,Defensive Midfield,56.4
