Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
18,1,Neymar da Silva Santos Junior,Brazil,Attacking Midfield/Wing,70.6
20,2,Richarlison de Andrade,Brazil,Forward,70.1
35,3,Raphael Dias Belloli,Brazil,Attacking Midfield/Wing,68.3
44,4,Carlos Henrique Casimiro,Brazil,Defensive Midfield,66.8
50,5,Vinícius José Paixão de Oliveira Júnior,Brazil,Central/Wide Midfield,66.4
53,6,Lucas Tolentino Coelho de Lima,Brazil,Defensive Midfield,66
71,7,Rodrygo Silva de Goes,Brazil,Central/Wide Midfield,64.6
86,8,Marcos Aoás Corrêa,Brazil,Center Back,63.7
89,9,Thiago Emiliano da Silva,Brazil,Center Back,63.5
111,10,Éder Gabriel Militão,Brazil,Fullback/Wingback,62.6
199,11,Danilo Luiz da Silva,Brazil,Fullback/Wingback,60.3
201,12,Gabriel Teodoro Martinelli Silva,Brazil,Attacking Midfield/Wing,60.3
207,13,Antony Matheus dos Santos,Brazil,Attacking Midfield/Wing,60.2
272,14,Frederico Rodrigues Santos,Brazil,Defensive Midfield,59.2
282,15,Bruno Guimarães Rodriguez Moura,Brazil,Defensive Midfield,59
311,16,Gabriel Fernando de Jesus,Brazil,Forward,58.6
313,17,Alex Sandro Lobo Silva,Brazil,Fullback/Wingback,58.5
333,18,Pedro Guilherme Abreu dos Santos,Brazil,Forward,58.2
404,19,Éverton Augusto de Barros Ribeiro,Brazil,Attacking Midfield/Wing,57.5
423,20,Fábio Henrique Tavares,Brazil,Defensive Midfield,57.4
435,21,Daniel Alves da Silva,Brazil,Fullback/Wingback,57.2
479,22,Alisson Ramsés Becker,Brazil,Goalkeeper,56.9
513,23,Alex Nicolao Telles,Brazil,Fullback/Wingback,56.7
523,24,Gleison Bremer Silva Nascimento,Brazil,Center Back,56.7
