Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
60,1,Alphonso Davies,Canada,Central/Wide Midfield,65.4
63,2,Jonathan David,Canada,Forward,65.2
78,3,Alistair Johnston,Canada,Fullback/Wingback,64.2
80,4,Tajon Buchanan,Canada,Central/Wide Midfield,64.2
134,5,Steven de Sousa Vitoria,Canada,Center Back,61.8
231,6,Cyle Larin,Canada,Forward,59.9
255,7,Richie Laryea,Canada,Fullback/Wingback,59.5
256,8,Kamal Miller,Canada,Center Back,59.5
265,9,David Junior Hoilett,Canada,Central/Wide Midfield,59.3
285,10,Atiba Hutchinson,Canada,Defensive Midfield,58.9
294,11,Stephen Antunes Eustáquio,Canada,Defensive Midfield,58.9
378,12,Ismael Koné,Canada,Defensive Midfield,57.7
383,13,Jonathan Osorio,Canada,Defensive Midfield,57.7
447,14,Sam Adekugbe,Canada,Fullback/Wingback,57.1
458,15,Mark Anthony Kaye,Canada,Defensive Midfield,57
565,16,Milan Borjan,Canada,Goalkeeper,56.2
