Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
164,1,Devis Rogers Epassy Mboka,Cameroon,Goalkeeper,60.9
167,2,Jean-Eric Maxim Choupo-Moting,Cameroon,Forward,60.8
219,3,Vincent Paté Aboubakar,Cameroon,Forward,60
234,4,Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,Center Back,59.8
236,5,André-Frank Zambo Anguissa,Cameroon,Defensive Midfield,59.7
253,6,Jean-Charles Castelletto,Cameroon,Center Back,59.5
254,7,Ngoran Suiru Fai Collins,Cameroon,Fullback/Wingback,59.5
284,8,Bryan Mbeumo,Cameroon,Attacking Midfield/Wing,59
331,9,Enzo Ebosse,Cameroon,Center Back,58.3
352,10,Christopher Wooh,Cameroon,Center Back,58
355,11,Nouhou Tolo,Cameroon,Fullback/Wingback,58
368,12,Karl Brillant Toko Ekambi,Cameroon,Attacking Midfield/Wing,57.9
374,13,Pierre Kunde Malong,Cameroon,Defensive Midfield,57.8
420,14,Nicolas Moumi Ngamaleu,Cameroon,Central/Wide Midfield,57.4
466,15,Martin Hongla Yma II,Cameroon,Central/Wide Midfield,57
476,16,Samuel Yves Oum Gwet,Cameroon,Defensive Midfield,56.9
549,17,Gaël Ondoua,Cameroon,Defensive Midfield,56.4
