Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
173,1,Keysher Fuller Spence,Costa Rica,Fullback/Wingback,60.8
242,2,Yeltsin Ignacio Tejeda Valverde,Costa Rica,Central/Wide Midfield,59.6
296,3,Kendall Jamaal Waston Manley,Costa Rica,Center Back,58.8
354,4,Joel Nathaniel Campbell Samuels,Costa Rica,Forward,58
406,5,Celso Borges Mora,Costa Rica,Defensive Midfield,57.5
443,6,Óscar Esau Duarte Gaitán,Costa Rica,Center Back,57.2
480,7,Francisco Javier Calvo Quesada,Costa Rica,Center Back,56.9
511,8,Juan Pablo Vargas Campos,Costa Rica,Center Back,56.7
524,9,Bryan Oviedo,Costa Rica,Fullback/Wingback,56.7
542,10,Gerson Torres Barrantes,Costa Rica,Attacking Midfield/Wing,56.5
550,11,Johan Alberto Venegas Ulloa,Costa Rica,Forward,56.4
551,12,Carlos Manuel Martínez Castro,Costa Rica,Fullback/Wingback,56.4
553,13,Anthony Daniel Contreras Enríquez,Costa Rica,Forward,56.4
567,14,Youstin Delfin Salas Gómez,Costa Rica,Fullback/Wingback,56.2
578,15,Jewison Bennette,Costa Rica,Attacking Midfield/Wing,55.9
584,16,Keylor Navas Gamboa,Costa Rica,Goalkeeper,55.4
585,17,Brandon Aguilera Zamora,Costa Rica,Attacking Midfield/Wing,55
