Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
3,1,Ivan Perišić,Croatia,Attacking Midfield/Wing,80.3
4,2,Mateo Kovačić,Croatia,Central/Wide Midfield,76.6
7,3,Luka Modrić,Croatia,Central/Wide Midfield,73.9
13,4,Joško Gvardiol,Croatia,Center Back,72.3
14,5,Andrej Kramarić,Croatia,Attacking Midfield/Wing,71.5
16,6,Marcelo Brozović,Croatia,Defensive Midfield,71.3
19,7,Dejan Lovren,Croatia,Center Back,70.6
29,8,Josip Juranović,Croatia,Fullback/Wingback,69.1
62,9,Bruno Petković,Croatia,Forward,65.3
72,10,Marko Livaja,Croatia,Forward,64.5
114,11,Borna Sosa,Croatia,Fullback/Wingback,62.4
116,12,Dominik Livaković,Croatia,Goalkeeper,62.4
149,13,Mario Pašalić,Croatia,Attacking Midfield/Wing,61.4
162,14,Nikola Vlašić,Croatia,Attacking Midfield/Wing,60.9
163,15,Mislav Oršić,Croatia,Attacking Midfield/Wing,60.9
198,16,Lovro Majer,Croatia,Attacking Midfield/Wing,60.3
450,17,Josip Stanišić,Croatia,Fullback/Wingback,57.1
497,18,Ante Budimir,Croatia,Forward,56.8
499,19,Josip Šutalo,Croatia,Center Back,56.8
548,20,Borna Barišić,Croatia,Fullback/Wingback,56.4
