Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
61,1,Enner Remberto Valencia Lastra,Ecuador,Attacking Midfield/Wing,65.3
141,2,Moisés Isaac Caicedo Corozo,Ecuador,Defensive Midfield,61.6
151,3,Gonzalo Jordy Plata Jiménez,Ecuador,Central/Wide Midfield,61.3
197,4,Michael Steveen Estrada Martínez,Ecuador,Forward,60.4
200,5,Felix Eduardo Torres Caicedo,Ecuador,Center Back,60.3
227,6,Pervis Josué Estupiñán Tenorio,Ecuador,Fullback/Wingback,59.9
269,7,Jhegson Sebastián Méndez Carabalí,Ecuador,Defensive Midfield,59.2
289,8,Angelo Smit Preciado Quiñónez,Ecuador,Fullback/Wingback,58.9
312,9,Piero Martín Hincapié Reyna,Ecuador,Center Back,58.5
332,10,Jackson Gabriel Porozo Vernaza,Ecuador,Center Back,58.3
417,11,Jeremy Leonel Sarmiento Morante,Ecuador,Central/Wide Midfield,57.4
419,12,Romario Andrés Ibarra Mina,Ecuador,Central/Wide Midfield,57.4
474,13,José Adoni Cifuentes Charcopa,Ecuador,Defensive Midfield,56.9
536,14,Carlos Armando Gruezo Arboleda,Ecuador,Defensive Midfield,56.6
547,15,Alan Steven Franco Palma,Ecuador,Central/Wide Midfield,56.4
561,16,Hernán Ismael Galíndez,Ecuador,Goalkeeper,56.3
