Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
15,1,Harry Kane,England,Forward,71.3
34,2,Jude Bellingham,England,Defensive Midfield,68.4
52,3,Phil Foden,England,Attacking Midfield/Wing,66.2
55,4,Harry Maguire,England,Center Back,65.7
64,5,Declan Rice,England,Defensive Midfield,65.1
68,6,Bukayo Saka,England,Attacking Midfield/Wing,64.8
74,7,Luke Shaw,England,Fullback/Wingback,64.3
79,8,John Stones,England,Center Back,64.2
109,9,Marcus Rashford,England,Attacking Midfield/Wing,62.6
131,10,Jordan Brian Henderson,England,Central/Wide Midfield,61.9
262,11,Jack Grealish,England,Attacking Midfield/Wing,59.4
287,12,Mason Mount,England,Attacking Midfield/Wing,58.9
299,13,Raheem Sterling,England,Attacking Midfield/Wing,58.7
300,14,Kieran Trippier,England,Fullback/Wingback,58.7
315,15,Kyle Walker,England,Fullback/Wingback,58.5
349,16,Callum Wilson,England,Forward,58
453,17,Jordan Pickford,England,Goalkeeper,57.1
478,18,Kalvin Phillips,England,Defensive Midfield,56.9
504,19,Eric Dier,England,Center Back,56.7
