Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
23,1,Daniel Olmo Carvajal,Spain,Attacking Midfield/Wing,69.6
39,2,Marco Asensio Willemsen,Spain,Forward,67.3
65,3,Álvaro Borja Morata Martín,Spain,Forward,65.1
83,4,Rodrigo Hernández Cascante,Spain,Center Back,64
84,5,Pedro González López,Spain,Central/Wide Midfield,64
88,6,Sergio Busquets i Burgos,Spain,Defensive Midfield,63.6
97,7,Ferrán Torres García,Spain,Attacking Midfield/Wing,63
126,8,Pablo Martín Páez Gavira,Spain,Central/Wide Midfield,62.2
130,9,Jordi Alba Ramos,Spain,Fullback/Wingback,62
209,10,Aymeric Laporte,Spain,Center Back,60.2
241,11,Alejandro Balde Martínez,Spain,Fullback/Wingback,59.6
268,12,Carlos Soler Barragán,Spain,Central/Wide Midfield,59.2
271,13,Unai Simón Mendibil,Spain,Goalkeeper,59.2
341,14,César Azpilicueta Tanco,Spain,Fullback/Wingback,58.1
401,15,Nicholas Williams Arthuer,Spain,Attacking Midfield/Wing,57.6
405,16,Anssumane Fati,Spain,Attacking Midfield/Wing,57.5
411,17,Pau Francisco Torres,Spain,Center Back,57.5
413,18,Marcos Llorente Moreno,Spain,Fullback/Wingback,57.5
424,19,Daniel Carvajal Ramos,Spain,Fullback/Wingback,57.3
463,20,Jorge Resurrección Merodio,Spain,Defensive Midfield,57
