Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
122,1,Mohammed Kudus,Ghana,Attacking Midfield/Wing,62.3
161,2,Daniel Amartey,Ghana,Center Back,61
266,3,Thomas Teye Partey,Ghana,Defensive Midfield,59.3
322,4,Salis Abdul Samed,Ghana,Defensive Midfield,58.4
336,5,André Ayew Pelé,Ghana,Attacking Midfield/Wing,58.2
345,6,Mohamed Salisu,Ghana,Center Back,58.1
409,7,Iñaki Williams Arthuer,Ghana,Forward,57.5
461,8,Kamaldeen Sulemana,Ghana,Attacking Midfield/Wing,57
483,9,Abdul Rahman Baba,Ghana,Fullback/Wingback,56.9
485,10,Osman Bukari,Ghana,Attacking Midfield/Wing,56.9
525,11,Jordan Ayew,Ghana,Attacking Midfield/Wing,56.6
543,12,Alidu Seidu,Ghana,Fullback/Wingback,56.4
545,13,Lawrence Ati-Zigi,Ghana,Goalkeeper,56.4
560,14,Alexander Djiku,Ghana,Center Back,56.3
562,15,Gideon Mensah,Ghana,Fullback/Wingback,56.3
573,16,Daniel-Kofi Kyereh,Ghana,Defensive Midfield,56
579,17,Tariq Lamptey,Ghana,Fullback/Wingback,55.8
