Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
75,1,Mehdi Taremi,Iran,Forward,64.3
182,2,Morteza Pouraliganji,Iran,Center Back,60.6
243,3,Sardar Azmoun,Iran,Forward,59.6
286,4,Ramin Rezaeian,Iran,Fullback/Wingback,58.9
297,5,Saeid Ezatolahi Afagh,Iran,Defensive Midfield,58.7
319,6,Seyed Majid Hosseini,Iran,Center Back,58.4
329,7,Ali Gholizadeh,Iran,Central/Wide Midfield,58.3
337,8,Ehsan Hajsafi,Iran,Fullback/Wingback,58.2
362,9,Ahmad Nourollahi,Iran,Defensive Midfield,57.9
394,10,Saman Ghoddos,Iran,Attacking Midfield/Wing,57.6
451,11,Ali Karimi,Iran,Defensive Midfield,57.1
477,12,Sadegh Moharrami,Iran,Fullback/Wingback,56.9
493,13,Mehdi Torabi,Iran,Central/Wide Midfield,56.8
540,14,Karim Ansarifard,Iran,Attacking Midfield/Wing,56.5
541,15,Mohammad Hossein Kanani Zadegan,Iran,Center Back,56.5
559,16,Alireza Jahanbakhsh,Iran,Attacking Midfield/Wing,56.3
569,17,Milad Mohammadi,Iran,Fullback/Wingback,56.1
572,18,Seyed Hossein Hosseini,Iran,Goalkeeper,56
582,19,Roozbeh Cheshmi,Iran,Center Back,55.6
