Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
104,1,Daichi Kamada,Japan,Attacking Midfield/Wing,62.7
105,2,Wataru Endo,Japan,Defensive Midfield,62.7
128,3,Maya Yoshida,Japan,Center Back,62.1
152,4,Hidemasa Morita,Japan,Defensive Midfield,61.3
154,5,Junya Ito,Japan,Fullback/Wingback,61.3
193,6,Ko Itakura,Japan,Center Back,60.4
196,7,Takuma Asano,Japan,Forward,60.4
203,8,Ritsu Doan,Japan,Attacking Midfield/Wing,60.3
247,9,Shūichi Gonda,Japan,Goalkeeper,59.6
277,10,Ao Tanaka,Japan,Defensive Midfield,59.1
317,11,Shogo Taniguchi,Japan,Center Back,58.4
321,12,Takehiro Tomiyasu,Japan,Center Back,58.4
344,13,Daizen Maeda,Japan,Forward,58.1
369,14,Kaoru Mitoma,Japan,Fullback/Wingback,57.9
395,15,Yuki Soma,Japan,Central/Wide Midfield,57.6
403,16,Yuto Nagatomo,Japan,Fullback/Wingback,57.5
449,17,Hiroki Ito,Japan,Center Back,57.1
486,18,Ayase Ueda,Japan,Forward,56.9
494,19,Miki Yamane,Japan,Fullback/Wingback,56.8
518,20,Hiroki Sakai,Japan,Fullback/Wingback,56.7
537,21,Takumi Minamino,Japan,Attacking Midfield/Wing,56.6
563,22,Takefusa Kubo,Japan,Attacking Midfield/Wing,56.2
