Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
66,1,Heung-Min Son,South Korea,Attacking Midfield/Wing,65
123,2,Gue-Sung Cho,South Korea,Forward,62.3
135,3,In-Beom Hwang,South Korea,Defensive Midfield,61.7
144,4,Hee-Chan Hwang,South Korea,Central/Wide Midfield,61.5
147,5,Moon-Hwan Kim,South Korea,Fullback/Wingback,61.4
165,6,Min Jae Kim,South Korea,Center Back,60.9
166,7,Young-Gwon Kim,South Korea,Center Back,60.9
216,8,Jin-Su Kim,South Korea,Fullback/Wingback,60.1
278,9,Woo-Young Jung,South Korea,Defensive Midfield,59.1
280,10,Jae-Sung Lee,South Korea,Attacking Midfield/Wing,59
356,11,Kang-In Lee,South Korea,Central/Wide Midfield,58
400,12,Chang-Hoon Kwon,South Korea,Attacking Midfield/Wing,57.6
414,13,Ui-Jo Hwang,South Korea,Forward,57.4
436,14,Seung-Gyu Kim,South Korea,Goalkeeper,57.2
437,15,Sang-Ho Na,South Korea,Attacking Midfield/Wing,57.2
467,16,Woo-Yeong Jeong,South Korea,Attacking Midfield/Wing,57
503,17,Jun-Ho Son,South Korea,Defensive Midfield,56.8
507,18,Kyung-Won Kwon,South Korea,Center Back,56.7
516,19,Chul Hong,South Korea,Fullback/Wingback,56.7
